"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"Skin_CarPart_Gun_Shotgun_epic_C1_Raider_Name"	"Individualisierung 'Schreihals'"
"Skin_CarPart_Gun_Shotgun_rare_C1_China_desc"	"Individualisiert das Aussehen der Schrotflinte $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_Gun_Shotgun_rare_C1_China_name"	"Individualisierung 'Schneeleopard'"
"Skin_CarPart_Harvester_legend_C1_China_desc"	"Individualisiert das Aussehen der Nahkampfwaffe $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_Harvester_legend_C1_China_name"	"Individualisierung 'Hiderigami'"
"Skin_CarPart_HomingMissileLauncher_epic_C1_Raider_Desc"	"Individualisiert das Aussehen des Raketenwerfers $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_HomingMissileLauncher_epic_C1_Raider_Name"	"Individualisierung 'Piranha'"
"Skin_CarPart_LanceExplosive_C1_China_desc"	"Individualisiert das Aussehen der Nahkampfwaffe $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_LanceExplosive_C1_China_name"	"Individualisierung 'Anaconda'"
"Skin_CarPart_Roundsaw_rare_C1_China_desc"	"Individualisiert das Aussehen der Nahkampfwaffe $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_Roundsaw_rare_C1_China_name"	"Individualisierung 'Fliegende Dolche'"
"Skin_CarPart_SpearExplosive_C1_China_Desc"	"Individualisiert das Aussehen der Nahkampfwaffe $targetDef$. Das Bauteil kann nicht länger auf dem Markt gehandelt werden."
"Skin_CarPart_SpearExplosive_C1_China_Name"	"Individualisierung 'Mondlicht'"
"ACCELERATION_TITLE"	"Beschleunigung"
"ACCURACY_TITLE"	"Genauigkeit"
"ADD_FRIEND_BTN"	"Hinzufügen"
"ALPHA_TEST_WINDOW_CLOSED"	"Der Alpha-Test von Crossout ist momentan zwischen 18.00 und 21.00 Uhr MESZ verfügbar."
"AUTHING"	"Authentifizierung"
"AvatarWnd_requirements"	"Erfordert Level $level$ in der Fraktion «$faction$»"
"AvatarWnd_SELECT"	"Auswählen"
"AvatarWnd_TITLE"	"Portrait ändern"
"ban_reason"	"Ausschlussgrund"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"Bei der Konstruktion dieser Blaupause werden fehlende Bauteile mit zufälligen, verbesserten Bauteilen des gleichen Typs ersetzt."
"BLUEPRINT_BUNDLE_BLUEPRINT"	"Pakete"
"BLUEPRINT_ERASE"	"Löschen"
"BLUEPRINT_ERASE_WARNING"	"Willst du die Blaupause löschen, die sich auf diesem Platz befindet?"
"BLUEPRINT_FACTION_BLUEPRINT"	"Fraktion"
"BLUEPRINT_HAS_ANALOG"	"(hat Alternative)"
"BLUEPRINT_LEVIATHAN"	" - @ffff7519Leviathan"
"BLUEPRINT_LOAD"	"Zusammenbauen"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Durch das Laden dieser Blaupause wird das gegenwärtige Fahrzeug aus dem Garagenplatz entfernt. Fortfahren?"
"BLUEPRINT_NEEDPARTS"	"Dir fehlen mehrere Bauteile"
"BLUEPRINT_NEW"	"Neu"
"BLUEPRINT_PREVIEW"	"Vorschau"
"BLUEPRINT_REWRITE_MSG"	"Die Blaupause im gewählten Platz wird überschrieben. Gib den Namen der neuen Blaupause ein:"
"BLUEPRINT_SAVE"	"Speichern"
"BLUEPRINT_SAVE_WARNING"	"Willst du die Blaupause überschreiben, die sich gegenwärtig auf diesem Platz befindet?"
"BLUEPRINT_TITLE"	"Blaupausen"
"BLUEPRINT_USER_BLUEPRINT"	"Gespeichert"
"BOOSTER_BUY_AGAIN"	"Mehr kaufen"
"BOOSTER_TITLE"	"Booster"
"BRIEFING_TIMER_TITLE"	"Start in:"
"BRIEFING_UR"	"PS"
"bundle_already_purchased"	"GEKAUFT"
"bundle_for_1024_gold"	"1024 Coins"
"bundle_for_128_gold"	"128 Coins"
"bundle_for_16_gold"	"16 Coins"
"bundle_for_1_gold"	"1 Coin"
"bundle_for_2048_gold"	"2048 Coins"
"bundle_for_256_gold"	"256 Coins"
"bundle_for_2_gold"	"2 Coins"
"bundle_for_32_gold"	"32 Coins"
"bundle_for_4096_gold"	"4096 Coins"
"bundle_for_4_gold"	"4 Coins"
"bundle_for_512_gold"	"512 Coins"
"bundle_for_64_gold"	"64 Coins"
"bundle_for_8_gold"	"8 Coins"
"Bundle_KamazGrad_desc"	"Blaupause des Katjuscha-Prototyps"
"Bundle_KamazGrad_name"	"Katjuscha"
"Bundle_Skills_desc"	"Dieses Paket beinhaltet verschiedene Fähigkeits-Module"
"Bundle_Skills_name"	"Fähigkeitenpaket"
"Cancel"	"Abbrechen"
"CHAT_ALPHA_WINDOW_COUNTDOWN"	"Die Testserver werden in $timeLeft$ abgeschaltet"
"CHAT_MAINTENANCE_COUNTDOWN"	"Die Server werden in $timeLeft$ für geplante Wartungsarbeiten abgeschaltet."
"CHAT_PUNISHED_player_ban"	"$accusedNickname$ wurde bis $until$ ausgeschlossen. Grund: $reason$."
"CHAT_PUNISHED_player_mute"	"$accusedNickname$ wurde bis $until$ stummgeschaltet. Grund: $reason$."
"CHAT_PUNISH_CLEARED_player_ban"	"$accusedNickname$ ist nicht länger ausgeschlossen."
"CHAT_PUNISH_CLEARED_player_mute"	"$accusedNickname$ ist nicht länger stummgeschaltet."
"Close"	"Schließen"
"COMPLEXITY_TITLE"	"Handhabung"
"CONFIRMATION_PROMOACC_WIPE"	"Mit der Bestätigung wird dieses Konto auf den Ursprungsstand zurückgesetzt. Sämtlicher Fortschritt geht verloren."
"CONNECTED"	"Verbunden"
"CONNECTING"	"Verbinde"
"craftsman_hire_need_perk"	"Erfordert Gebäude: $perk$"
"DAMAGE_TITLE"	"Schaden"
"ERROR_BLUEPRINT_CANT_SAVE_EMPTY"	"Eine leere Blaupause kann nicht gespeichert werden."
"ERROR_PROMO_ACCOUNT_RESTRICTION"	"Einige Features sind in dieser Demo-Version deaktiviert.||Du kannst diese Aktion nicht abschließen."
"ExhibitionCardWnd_Next"	"Nächste Blaupause"
"ExhibitionCardWnd_Prev"	"Vorherige Blaupause"
"EXHIBITION_MENU_REPORT"	"Verstoß melden"
"EXPPENALTY_TITLE"	"Reputationsstrafe"
"EXPPENALTY_TOOLTIP"	"Du erhältst weniger Reputation in Gefechten, je mehr Bauteile deines Fahrzeugs verschlissen sind."
"FIRERATE_TITLE"	"Kadenz"
"FMA_ADD_FRIEND"	"Freund hinzufügen"
"FMA_INVITE_TO_PARTY"	"In Gruppe einladen"
"FMA_REPORT_PLAYER"	"Verstoß melden"
"FMA_UNFRIEND"	"Entfernen"
"FMA_WHISPER"	"Flüstern"
"FRIEND_LIST_NICK_HINT"	"Spielernamen eingeben"
"FRIEND_LIST_TITLE"	"Freunde"
"FRIEND_MENU_CAPTION"	"Freund"
"FRIEND_STATE_FRIENDS"	"Freunde"
"FRIEND_STATE_IGNORE"	"Ignorieren"
"FRIEND_STATE_PROPOSED"	"vorgeschlagen"
"FRIEND_STATE_REQUESTED"	"Anfrage versendet"
"Fun_Dye"	"Paket: Spaß"
"Fun_Dye_Desc"	"Helle, lebhafte Farben."
"GAMEPLAY_ASSAULT"	"Überfall"
"GAMEPLAY_ASSAULT_INFO"	"Erobere die gegnerische basis."
"GAMEPLAY_Deathmatch"	"Jeder gegen Jeden"
"GAMEPLAY_Deathmatch_INFO"	"Vernichte 10 Gegner"
"GAMEPLAY_DEATHMATCH_RESPAWN_TIME"	"Du kehrst in $time$ ins Gefecht zurück"
"GAMEPLAY_DESTRUCTIONDERBY_SUDDENDEATH"	"Der Sturm zieht auf!"
"GAMEPLAY_DESTRUCTIONDERBY_SUDDENDEATH_TIME_LEFT"	"Der Sturm zieht auf in:"
"GAMEPLAY_DESTRUCTIONDERBY_SURVIVED_COUNTER"	"Überlebende: $count$"
"GAMEPLAY_Pve_Siege"	"Belagerung"
"GAMEPLAY_Pve_Siege_INFO"	"Finde und zerstöre alle bohrtürme."
"GARAGE_ACCELERATION_TOOLTIP"	"Dieser Wert symbolisiert die Beschleunigung deines Fahrzeugs. Sie hängt von der Motorleistung und Tragkraft des Fahrzeugs ab. Sie verringert sich, falls das Fahrzeuggewicht den Grenzwert der zulässigen Tragfähigkeit überschreitet."
"GARAGE_NOTIFICATIONS"	"BENACHRICHTIGUNGEN"
"GARAGE_UR_TOOLTIP"	"Die Gesamtwertung des Fahrzeugs hängt von der Wertung aller montierten Bauteile ab. Die Wertung eines Bauteils bemisst sich an dessen relativer Effektivität im Gefecht."
"GEAR_LEVEL"	"Bauteile"
"GEAR_TITLE"	"Bauteile"
"GOLD_PACK_150_GOLD_Desc"	"Beinhaltet 150 Coins."
"GOLD_PACK_150_GOLD_Name"	"«150 Coins» Paket"
"GOLD_PACK_1650_GOLD_Desc"	"Beinhaltet 1650 Coins."
"GOLD_PACK_1650_GOLD_Name"	"«1650 Coins» Paket|"
"GOLD_PACK_2500_GOLD_Desc"	"Beinhaltet 2500 Coins."
"GOLD_PACK_2500_GOLD_Name"	"«2500 Coins» Paket"
"GOLD_PACK_3500_GOLD_Desc"	"Beinhaltet 3500 Coins."
"GOLD_PACK_3500_GOLD_Name"	"«3500 Coins» Paket|"
"GOLD_PACK_350_GOLD_Desc"	"Beinhaltet 350 Coins."
"GOLD_PACK_350_GOLD_Name"	"«350 Coins» Paket|"
"GOLD_PACK_7500_GOLD_Desc"	"Beinhaltet 7500 Coins."
"GOLD_PACK_7500_GOLD_Name"	"«7500 Coins» Paket|"
"GOLD_PACK_875_GOLD_Desc"	"Beinhaltet 875 Coins."
"GOLD_PACK_875_GOLD_Name"	"«875 Coins» Paket|"
"GRADE_TITLE"	"Level:"
"HANGAR_TAB_WORKPLACE_REPAIR"	"Reparieren"
"HEALTH_TITLE"	"Struktur"
"HEALTH_TOOLTIP"	"Dieser Wert zeigt die strukturelle Integrität der Fahrerkabine inklusive aller Boni durch andere Bauteile an. Erreicht dieser Wert im Gefecht 0, gilt das Fahrzeug als zerstört. Die Summe der Strukturpunkte aller Fahrzeugbauteile ist $parts_health$."
"HUD_POINT_CAPTURE"	"Sektor-Eroberung"
"HUD_SPECTATOR_KEY_GAMEPAD_HINT"	"Drücke $key0$ oder $key1$, um ein anderes Ziel zu verfolgen"
"HUD_SPECTATOR_KEY_HINT"	"Drücke $key$, um ein anderes Ziel zu verfolgen"
"HUD_SPECTATOR_PARTS_TITLE"	"Bauteile des Überlebenden"
"INVENTORY_CAPACITY"	"%d/%d"
"INVENTORY_CAPACITY_OVERFLOW"	"@ffff0000%d@ffffffff/%d"
"Inventory_instant_sell_error_no_items"	"Keine ungenutzten Bauteile dieses Typs im Lager."
"Inventory_instant_sell_error_no_requests"	"Verkauf des Gegenstands fehlgeschlagen. Keine Anfragen vorhanden."
"Inventory_instant_sell_item"	"$item_name$ für $price$ verkaufen, dem höchsten Angebot?"
"Inventory_instant_sell_no_deals"	"Schnellverkauf fehlgeschlagen"
"inventory_on_car"	"Verwendet auf $val$"
"IN_LOGIN_QUEUE"	"Warteschlange ~ $timeLeft$"
"Khaki_Dye"	"Paket: Khaki"
"Khaki_Dye_Desc"	"Tarnungen für verschiedene Zwecke."
"LB_clan_exp_weekly_desc"	"Die besten Clans nach Reputation aller Mitglieder. Wöchentlich aktualisierte Wertung.|"
"LB_clan_exp_weekly_title"	"Clan-Wertung"
"LB_clan_member_exp_weekly_desc"	"Die Einzelbeiträge zur Clan-Reputation. Wöchentlich aktualisierte Wertung.|"
"LB_clan_member_exp_weekly_title"	"Platz im Clan"
"LOADING"	"LADEN"
"LOCKED_FOR_PROMO"	"Für Promo-Konten nicht verfügbar."
"LOGIN_AUTH_CODE"	"Authentifikationsschlüssel"
"LOGIN_BUTTON"	"Verbinden"
"LOGIN_CHANGE_USER"	"$key$ Profil wechseln"
"LOGIN_REMEMBER"	"Speichern"
"Login_termsofuse"	"Nutzungsbedingungen"
"MASS_TITLE"	"Gewicht"
"MASS_TOOLTIP"	"Falls das Gewicht die Tragfähigkeit ($tonnage$) überschreitet, wirkt ein progressiv ansteigender Malus auf die Höchstgeschwindigkeit und Beschleunigung.|Ein Überschreiten des Maximalgewichts verhindert, dass du dich mit diesem Fahrzeug Gefechten anschließen kannst."
"MATCHMAKING"	"Suche nach Gegnern"
"MAXAMMO_TITLE"	"Munitionsreserve"
"MAX_LIMIT_TOOLTIP"	"Die Anzahl der Teile, aus denen ein Fahrzeug bestehen kann, ist begrenzt.|Du kannst dieses Limit anheben, indem du deine Reputation in der «Engineers»-Fraktion verbesserst. Siege in Gefechten, um größere und ausgeklügeltere Maschinen entwerfen zu können."
"MENU_ESCAPE_PROMOACC_WIPE"	"Konto zurücksetzen"
"Metall_Dye"	"Paket: Metall"
"Metall_Dye_Desc"	"Chrom und Gold. Genau das, was du brauchst!"
"MISSILE_ALARM"	"Rakete im Anflug!"
"MISSIONWND_PARTY_FORBIDDEN"	"Ein Spieler kann sich dem Gefecht nicht anschließen"
"MISSIONWND_PARTY_READY_COUNT"	"Bereit $count$/$maxCount$"
"Mission_RadarBig_Desc"	"Du erhältst die Chance, einen Radardetektor oder andere Gegenstände zu erhalten"
"MONEY_TOOLTIP"	"Geld"
"MSG_NO"	"NEIN"
"MSG_OK"	"OK"
"MSG_YES"	"JA"
"NewsFeed_Title"	"Aktuelle Neuigkeiten"
"NewsFeed_working"	"Aktualisiere..."
"No"	"Nein"
"NOTIFICATIONS"	"Ereignislog"
"NUM_PEOPLE_IN_QUEUE"	"Spieler in Warteschlange"
"OK"	"OK"
"PARTINFO_DAMAGE"	"Schaden:"
"PARTINFO_GEARLVL"	"%d $texture name icon_gearLevel$"
"PARTINFO_HEALTH"	"%d $texture name icon_health$"
"PARTINFO_MASS"	"%d $texture name icon_mass$"
"PARTINFO_POWER"	"Energieverbrauch: %d $texture name icon_power$"
"PARTINFO_PRICEBUY_SIZE_10_TITLE"	"x10 gekauft für:"
"PARTINFO_PRICESELL_SIZE_10_TITLE"	"x10 verkauft für:"
"PARTINFO_RESIST"	"Resistenz:"
"PARTSFILTER_Other"	"Andere"
"PARTSFILTER_Resource"	"Ressourcen"
"PARTS_INSTANT_SELL_TITLE"	"Verkaufen"
"PARTY_ACCEPT_INVITE"	"Einladung annehmen"
"PARTY_INVITED"	"Eingeladen"
"PARTY_MEMBER_MENU_CAPTION"	"Gruppenmitgiled"
"PARTY_MISSION_TITLE"	"Mission: $mission$"
"PARTY_READY_CANCEL"	"Nicht bereit"
"PARTY_READY_CONFIRM"	"Bereit"
"PARTY_REJECT_INVITE"	"Einladung ablehnen"
"PARTY_TITLE"	"Gruppe"
"PART_NEW"	"Neu!"
"PASSWORD"	"Passwort"
"PickupBase_desc"	"Eine Fahrerkabine, Reifen und sonst nichts."
"PickupBase_name"	"Pickup-Fahrgestell"
"POWER_TITLE"	"Energie"
"POWER_TOOLTIP"	"Energie begrenzt die Anzahl an Waffen und Modulen, die gleichzeitig an ein Fahrzeug installiert werden können.|Wähle eine andere Fahrerkabine oder installiere einen Generator, um zusätzliche Energieeinheiten zu erhalten."
"psn_bundle_for_150_gold"	"150 Coins"
"psn_bundle_for_1650_gold"	"1650 Coins"
"psn_bundle_for_3500_gold"	"3500 Coins"
"psn_bundle_for_350_gold"	"350 Coins"
"psn_bundle_for_50_gold"	"50 Coins"
"psn_bundle_for_7500_gold"	"7500 Coins"
"psn_bundle_for_875_gold"	"875 Coins"
"PunishReason_ChatAbuse"	"Fluchen im Spiel-Chat"
"PunishReason_GameMechanicsAbuse"	"Ausnutzung von Spielfehlern"
"PunishReason_General"	"Grund nicht angegeben"
"PunishReason_Not_setted"	"Nicht ausgewählt"
"PunishReason_Refund"	"Rückerstattung"
"PunishReason_Slacking"	"Illegale Automatisierung"
"RANGE_TITLE"	"Reichweite"
"READY"	"Bereit"
"REMOVE_FRIEND_BTN"	"Entfernen"
"REPORTREASON_BLUEPRINTS_FILTHY_LANGUAGE"	"Vulgärsprache"
"REPORTREASON_BLUEPRINTS_OTHER"	"Andere"
"REPORTREASON_CHAT_FILTHY_LANGUAGE"	"Vulgärsprache"
"REPORTREASON_CHAT_INSULT"	"Beleidigung"
"REPORTREASON_CHAT_OTHER"	"Andere"
"REPORTREASON_CHAT_SPAM"	"Spam"
"REPORT_DESC_TITLE"	"Beschreibung"
"REPORT_REASON_TITLE"	"Grund"
"REPORT_SEND"	"Melden"
"REPORT_TITLE"	"Verstoß melden"
"REPORT_USER_TITLE"	"Übeltäter"
"rp_state_AFK"	"AFK"
"rp_state_IN_BATTLE"	"Im Gefecht"
"rp_state_IN_QUEUE"	"In Warteschlange"
"rp_state_OFFLINE"	"Offline"
"rp_state_OFFLINE_wide"	"Offline seit $time$"
"rp_state_ONLINE"	"Online"
"Scrap_Common"	"Metallschrott"
"ShopWnd_PW_bought"	"Gekaufte Coins: $val$"
"ShopWnd_PW_help"	"Leer"
"ShopWnd_PW_to_shop"	"Coins kaufen"
"ShopWnd_recommended"	"Favorit der Spieler"
"Shop_buy_item_confirm"	"Bist du sicher, dass du $bundle_name$ kaufen möchtest?"
"SHOP_ITEM_BUY_PREM_BTN"	"Kaufen"
"SPECTATOR_ALL_CLIENTS_DEAD"	"Alle Spielerfahrzeuge wurden zerstört. Das Gefecht endet in %0.1f Sekunden.|"
"SPECTATOR_MSG"	"Dein Fahrzeug ist in der nächsten Runde bereit!"
"SPEED_TITLE"	"Geschwindigkeit"
"TIME_TO_NEXT_GAME"	"Verbleibende Zeit"
"TOOLTIP_REASSIGN"	"Taste für den Abzug ändern"
"UNIVERSAL_RATING_TITLE"	"Allgemeine Wertung"
"until"	"Ausgeschlossen bis"
"UR_TITLE"	"Power Score"
"UserBlueprintWnd_bought"	"Gekauft"
"UserBlueprintWnd_desc"	"Hier findest du Blaupausen die du ausprobieren, in der Gallerie ausstellen oder zu Fahrzeugen konstruieren kannst."
"UserBlueprintWnd_details_available"	"Benötigte Bauteile:"
"UserBlueprintWnd_details_unavailable"	"Fehlende Bauteile:"
"UserBlueprintWnd_title"	"Blaupausen"
"UserBlueprintWnd_toshop"	"Zum Shop"
"UserBlueprintWnd_toshop_PS4"	"Kaufen"
"UserBlueprintWnd_toshop_XBONE"	"Kaufen"
"USERNAME_HINT"	"E-Mail"
"WARINING"	"Hinweis"
"WARNING"	"Hinweis"
"WeaponAssign_Automatic"	"Autofeuer"
"WeaponAssign_Primary"	"Gruppe 1"
"WeaponAssign_Secondary"	"Gruppe 2"
"WeaponAssign_TITLE"	"Tastenbelegung für Bewaffnung ändern"
"WeaponAssign_weaponGroup3"	"Gruppe 3"
"WeaponAssign_weaponGroup4"	"Gruppe 4"
"WeaponAssign_weaponGroup5"	"Gruppe 5"
"WeaponAssign_weaponGroup6"	"Gruppe 6"
"WeaponAssign_weaponGroup7"	"Gruppe 7"
"Yes"	"Ja"
"CarPart_ArmorPlate1_rare_Desc"	"Improvisierte Fahrzeugpanzerung."
"CarPart_ArmorPlate1_rare_Name"	"Zaunstück"
"CarPart_ArmorPlate_Grid1_Desc"	"Ein Gitter."
"CarPart_ArmorPlate_Grid1_Name"	"Gitter"
"CarPart_ArmorPlate_Grid2_rare_Desc"	"Ein Kühlergitter, das aus einem Auto gerissen wurde. Ist durchlässig für Schaden."
"CarPart_ArmorPlate_Grid2_rare_Name"	"Kühlergitter"
"CarPart_ArmorPlate_Plank_Desc"	"Ein Metallstück, das als behelfsmäßige Fahrzeugpanzerung verwendet wird."
"CarPart_ArmorPlate_Plank_Name"	"Planke"
"CarPart_ArmorPlate_Square_desc"	"Ein Metallstück, das als behelfsmäßige Fahrzeugpanzerung verwendet wird."
"CarPart_ArmorPlate_Square_name"	"Blechplatte"
"CarPart_ArmorPlate_Trapdoor_epic_desc"	"Ein Metallstück, das als behelfsmäßige Fahrzeugpanzerung verwendet wird."
"CarPart_ArmorPlate_Trapdoor_epic_name"	"Kanaldeckel"
"CarPart_Armorplate_VanCover_rare_Desc"	"Ein Metallstück, das als behelfsmäßige Fahrzeugpanzerung verwendet wird."
"CarPart_Armorplate_VanCover_rare_Name"	"Panzerluke"
"CarPart_AviaBox2x1x2_Desc"	"Ein Stück Flugzeugverkleidung."
"CarPart_AviaBox2x1x2_Name"	"Kleine Flugzeugverkleidung"
"CarPart_AviaBox2x1x4_Desc"	"Ein Stück Flugzeugverkleidung."
"CarPart_AviaBox2x1x4_Name"	"Große Flugzeugverkleidung"
"CarPart_AviaBox4x1x2_Desc"	"Ein Stück Flugzeugverkleidung."
"CarPart_AviaBox4x1x2_Name"	"Flugzeugverkleidung"
"CarPart_AviaBox4x1x4_Desc"	"Ein Stück Flugzeugverkleidung."
"CarPart_AviaBox4x1x4_Name"	"Große Flugzeugverkleidung"
"CarPart_AviaBoxSlopeCorner4x1x2_Desc"	"Teil eines Flugzeugrumpfs."
"CarPart_AviaBoxSlopeCorner4x1x2_Name"	"Flugzeugkante"
"CarPart_AviaRadial2x2x1_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaRadial2x2x1_Name"	"Schmale abgeschrägte Strebe"
"CarPart_AviaRadial2x2x2_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaRadial2x2x2_Name"	"Abgeschrägte Strebe"
"CarPart_AviaRadial2x2x4_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaRadial2x2x4_Name"	"Breite abgeschrägte Strebe"
"CarPart_AviaRadialCorner2x2x2_Desc"	"Ein Stück Flugzeugrumpf."
"CarPart_AviaRadialCorner2x2x2_Name"	"Abgeschrägte Strebe"
"CarPart_AviaRadialFender2x2x2_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaRadialFender2x2x2_Name"	"Flugzeugnase"
"CarPart_AviaRadialSlope4x2x4_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaRadialSlope4x2x4_Name"	"Doppelte Flugzeugstrebe"
"CarPart_AviaSlope2x1x1_Desc"	"Teil eines Flugzeugrumpfs."
"CarPart_AviaSlope2x1x1_Name"	"Schmale Flugzeugstrebe"
"CarPart_AviaSlope2x1x2_Desc"	"Teil eines Flugzeugrumpfs."
"CarPart_AviaSlope2x1x2_Name"	"Flugzeugstrebe"
"CarPart_AviaSlope2x1x4_Desc"	"Teil eines Flugzeugrumpfs."
"CarPart_AviaSlope2x1x4_Name"	"Breite Flugzeugstrebe"
"CarPart_AviaWing4x1x2_Desc"	"Frontteil eines Flugzeugrumpfs."
"CarPart_AviaWing4x1x2_Name"	"Kleine Flügelstrebe"
"CarPart_AviaWing4x1x3_Desc"	"Ein Stück Flugzeugrumpf."
"CarPart_AviaWing4x1x3_Name"	"Flügelstrebe"
"CarPart_AviaWing8x1x3_Desc"	"Frontteil eines Flügelsockels."
"CarPart_AviaWing8x1x3_Name"	"Schmaler Flügel"
"CarPart_AviaWing8x1x4_Desc"	"Heckteil eines Flügelsockels."
"CarPart_AviaWing8x1x4_Name"	"Flügelsockel"
"CarPart_Avia_fender_l_desc"	"Ein Flugzeug-Kotflügel aus Metall."
"CarPart_Avia_fender_l_name"	"Linker Flugzeug-Kotflügel"
"CarPart_Avia_fender_r_desc"	"Ein Flugzeug-Kotflügel aus Metall."
"CarPart_Avia_fender_r_name"	"Rechter Flugzeug-Kotflügel"
"CarPart_Avia_lafet_desc"	"Eine Drahtgitter-Lafette. Lässt Projektile passieren."
"CarPart_Avia_lafet_name"	"Lafette"
"CarPart_BoxFrame2x1_desc"	"Ein Fahrzeugteil, das aus Metallrohren hergestellt wurde."
"CarPart_BoxFrame2x1_name"	"Kleiner Rohrrahmen"
"CarPart_BoxFrame2x2_desc"	"Ein Fahrzeugteil, das aus Metallrohren hergestellt wurde."
"CarPart_BoxFrame2x2_name"	"Mittlerer Rohrrahmen"
"CarPart_BoxSolid2x1_desc"	"Sturkturteil aus Metall."
"CarPart_BoxSolid2x1_name"	"Kleines Gehäuse"
"CarPart_BoxSolid2x2_desc"	"Sturkturteil aus Metall."
"CarPart_BoxSolid2x2_name"	"Mittleres Gehäuse"
"CarPart_BoxSolid4x4_rare_Desc"	"Sturkturteil aus Metall."
"CarPart_BoxSolid4x4_rare_Name"	"Großes Gehäuse"
"CarPart_Buggy_bumper_desc"	"Ein Teil eines schnellen und tödlichen gepanzerten Fahrzeugs."
"CarPart_Buggy_bumper_name"	"Buggy-Stoßstange"
"CarPart_Buggy_fender_desc"	"Ein Teil eines schnellen und tödlichen gepanzerten Fahrzeugs."
"CarPart_Buggy_fender_name"	"Linker Buggy-Kotflügel"
"CarPart_Buggy_fender_r_desc"	"Ein Teil eines schnellen und tödlichen gepanzerten Fahrzeugs."
"CarPart_Buggy_fender_r_name"	"Rechter Buggy-Kotflügel"
"CarPart_Buggy_Grid10_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid10_Name"	"Gitter"
"CarPart_Buggy_Grid11_Desc"	"Verschiedene behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid11_Name"	"Buggy-Gitter 10"
"CarPart_Buggy_Grid1_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid1_Name"	"Buggy-Gitter 1"
"CarPart_Buggy_Grid2_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid2_Name"	"Buggy-Gitter 2"
"CarPart_Buggy_Grid3_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid3_Name"	"Buggy-Gitter 3"
"CarPart_Buggy_Grid4_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid4_Name"	"Buggy-Gitter 4"
"CarPart_Buggy_Grid5_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid5_Name"	"Buggy-Gitter 5"
"CarPart_Buggy_Grid6_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid6_Name"	"Buggy-Gitter 6"
"CarPart_Buggy_Grid7_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid7_Name"	"Buggy-Gitter 7"
"CarPart_Buggy_Grid8_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid8_Name"	"Buggy-Gitter 8"
"CarPart_Buggy_Grid9_Desc"	"Verschiedene, behelfsmäßige Rohrbauteile."
"CarPart_Buggy_Grid9_Name"	"Buggy-Gitter 9"
"CarPart_BumperSpikeMini_long_Desc"	"Eine Verschalung, die mit Dornen versehen wurde."
"CarPart_BumperSpikeMini_long_Name"	"Bedornte Verschalung"
"CarPart_Engine_avia_front_desc"	"Ein massives und feuriges Herz für dein stählernes Gefährt.||Je Fahrzeug ist nur ein zusätzlicher Motor zulässig."
"CarPart_Engine_avia_front_name"	"Flugzeugmotor"
"CarPart_FenderSolid_desc"	"Sturkturteil aus Metall."
"CarPart_FenderSolid_name"	"Kotflügel"
"CarPart_FenderSolid_Starter_desc"	"Ein ziemlich kaputter Kotflügel, der ersetzt werden sollte."
"CarPart_FenderSolid_Starter_name"	"Anfänger-Kotflügel"
"CarPart_Footstep_Desc"	"Ein vielseitiges Strukturelement, das sogar für seinen eigentlichen Zweck benutzt werden kann."
"CarPart_Footstep_Name"	"Trittbrett"
"CarPart_Grid_1_Desc"	"Verschiedene behelfsmäßige Rohrbauteile. Lassen Projektile passieren."
"CarPart_Grid_1_Name"	"Gitter 1"
"CarPart_Grid_2_Desc"	"Verschiedene behelfsmäßige Rohrbauteile. Lassen Projektile passieren."
"CarPart_Grid_2_Name"	"Gitter 2"
