"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"privacy_policy_text_21"	"|10. COOKIES|Wir und unsere Partner (z. B. Werbepartner und Analytik-Partner) können Cookies und andere ähnliche Technologien (z. B. Web Beacons, Pixel, Geräte-ID usw.) verwenden, um Sie und/oder Ihr Gerät für die Bereitstellung unserer Dienste und die Personalisierung der Spiele, der Website und der damit verbundenen Dienstleistungen zu erkennen, sowie auch zur Analyse Ihrer Nutzung unserer Spiele und unserer Website, und auch, um Ihnen personalisierte Werbung anzuzeigen und Betrug vorzubeugen. Weitere Informationen zu Cookies und deren Deaktivierung finden Sie unter: $url href=\"https://www.aboutcookies.org/\" text=\"www.aboutcookies.org/\"$. Darüber hinaus können einige Drittwerbetreibende Cookies in ihren Werbekampagnen in unseren Spielen und auf unserer Website verwenden. Solche Cookies werden verwendet, um anonyme Verhaltensinformationen zu sammeln, die Werbetreibende verwenden, um personalisierte Werbung innerhalb und außerhalb unserer Spiele und der Website bereitzustellen. Um diese Funktion zu deaktivieren, gehen Sie auf: $url href=\"https://optout.aboutads.info/\" text=\"optout.aboutads.info/\"$ und folgen dann den dort beschriebenen Schritten. Daneben können Sie diese und andere Cookies auch über Ihre Browsereinstellungen deaktivieren. Bitte beachten Sie jedoch, dass einige der Funktionen der Spiele, der Website und der zugehörigen Dienste möglicherweise nicht verfügbar sind oder möglicherweise nicht ordnungsgemäß funktionieren, wenn Sie einige Cookies deaktivieren, die nicht mit der Personalisierung von Anzeigen in Zusammenhang stehen. Generell bleiben Ihnen aber die Spiele und die Website weiter zugänglich."
"privacy_policy_text_22"	" |11. AKTUALISIERUNGEN DIESER DATENSCHUTZERKLÄRUNG|Die aktuelle Version dieser Datenschutzerklärung finden Sie unter: $url href=\"https://gaijin.net/en/pp\" text=\"gaijin.net\"$, $url href=\"https://warthunder.com/en/support/privacypolicy/\" text=\"warthunder.com\"$, $url href=\"https://crossout.net/en/support/privacypolicy/#/\" text=\"crossout.net\"$ und $url href=\"http://star-conflict.com/en/b/privacypolicy\" text=\"star-conflict.com\"$.|Wir können diese Datenschutzerklärung jederzeit ändern. Alle Aktualisierungen dieser Datenschutzerklärung treten ab dem Zeitpunkt in Kraft, an dem die aktualisierte Version der Datenschutzerklärung auf den oben aufgeführten Websites veröffentlicht wird, sofern im Text der aktualisierten Version der Datenschutzerklärung kein anderes Datum des Wirksamwerdens angegeben ist."
"privacy_policy_text_3"	"|2. DIE DATEN, DIE WIR ÜBER SIE SAMMELN|2.1. Die Daten, die Sie uns zur Verfügung stellen:|2.1.1. wenn Sie ein Spielkonto erstellen, dann ist dies Ihr Alias als Benutzer und Ihre E-Mail-Adresse;|2.1.2. wenn Sie sich mit unserem Support-Team in Verbindung setzen, wenn Sie Nachrichten im Chat versenden, wenn Sie Ihre Kommentare im Forum posten, d. h. dies alles enthält Daten, die Sie nach Ihrem Ermessen und/oder mit Ihrer Zustimmung senden;|2.1.3. wenn Sie die Zwei-Faktor-Authentifizierung aktivieren, wird Ihre Mobiltelefonnummer erfasst;|2.1.4. wenn Sie uns Ihre Daten mitteilen, damit wir Ihnen einen Preis oder ein Geschenk zusenden können, sammeln wir die Daten, die für die Lieferung und/oder für die Verwendung des Preises oder Geschenks erforderlich sind;|2.1.5. wenn Sie an unseren Umfragen teilnehmen, sammeln wir die Daten, die für Ihre Teilnahme an der Umfrage erforderlich sind.|2.2. Die Daten, die wir automatisch sammeln dürfen:|2.2.1. Eine Benutzer-ID, die von uns generiert wird;|2.2.2. Ihre IP-Adresse;|2.2.3. Angaben zu Ihrem Gerät (z. B. Betriebssystem, Browsertyp und -sprache, Hersteller, Modell, Bildschirmauflösung und Sprache der Benutzeroberfläche);|2.2.4. Profildaten und Spieldaten;|2.2.5. Verkehrsquelle (das ist die Quelle, von der aus das Spiel auf Ihrem Mobilgerät installiert wurde);|2.2.6. Allgemeine Standortdaten (falls verfügbar, normalerweise Ihre Stadt oder Ihr Land, ohne Ihren spezifischen Standort anzugeben).|2.2.7. Gameplay-Daten und Einzelheiten, die Ihre Interaktion mit anderen Spielern erfassen (wie das Datum der Installation der Anwendung; die Version der Anwendung; die Sprache der Benutzeroberfläche; alle quantitativen und zeitlichen Daten Ihrer In-Game-Aktivitäten, einschließlich Gaming-Leistungen, abgeschlossene Spielaufgaben, In-Game-Käufe, Spielergebnisse, Informationen über In-Game-Interaktionen mit anderen Spielern, die Zeit Ihrer letzten Spielsitzung, Informationen über alle Abfragen, die im Spiel ausgeführt wurden usw.);|2.2.8. Aufzeichnungen über ihre Anfragen an unser Support-Team und alle anderen Anliegen, die gemäß dieser Datenschutzerklärung an uns gesendet werden."
"privacy_policy_text_4"	"|2.3. Die Daten, die wir von unseren Partnern sammeln dürfen:|2.3.1. Die Daten, die wir sammeln, wenn Spieler die Dienste von Drittanbietern (z. B. Facebook, Mail.Ru, Gmail) mit unseren Spielen verknüpfen, einschließlich Ihres Namens (Alias), Ihrer E-Mail-Adresse, Ihres Profilbildes (Foto), und der Daten über Ihre Freunde, die das gleiche Spiel wie Sie spielen, jeweils abhängig von den Datenschutzeinstellungen des jeweiligen Drittanbieters);|2.3.2. Daten, die zur Bekämpfung von Betrug und unfairen Spielmethoden beitragen;|2.3.3. Daten von Plattformen, auf denen die Spiele laufen (z. B. zur Überprüfung der Zahlung oder der IDS der anderen Plattformen);|2.3.4. Daten für Werbe- und Analysezwecke, damit wir Ihnen einen besseren Service bieten können;|2.3.5. Daten von unseren Zahlungspartnern zum Senden von Rechnungen an Sie, wenn Sie etwas über unseren offiziellen Online-Shop kaufen: $url href=\"https://store.gaijin.net\" text=\"store.gaijin.net\"$.|2.4. Öffentliche Daten, die wir sammeln dürfen:|2.4.1. Ihr Feedback, Ihre Kommentare oder Meinungen über die Spiele und unsere Dienstleistungen, die von Ihnen in Form von Texten, Audio- oder Videoaufzeichnungen über öffentliche Ressourcen veröffentlicht werden.|2.5. Daten, die wir NICHT sammeln:|2.5.1. Wir sammeln keine Daten über Ihre Zahlungsmittel (z. B. Bank- oder Kreditkartendaten usw.);|2.5.2. Wir verlangen keine „besonderen Kategorien personenbezogener Daten“ (d. h. Informationen über Ihre Gesundheit, Rasse, Religion, politische Ansichten usw.) und beabsichtigen auch nicht, diese zu sammeln. Bitte seien Sie vorsichtig, wenn Sie diese Informationen über sich auf den Websites, in In-Game-Chats und in den Foren teilen."
"privacy_policy_text_7"	"|4. ÖFFENTLICHE BENUTZERDATEN|Andere Spieler können einige Ihrer Benutzerdaten sehen. Beispielsweise können andere Spieler Ihren Alias und Ihr Profilbild (Foto) sowie Ihren Alias und Ihr Kontobild (Foto) über Ihr Soziales Netzwerk-Konto sehen, wenn Sie Ihr Soziales Netzwerk-Konto mit Ihrem Spielkonto verknüpft haben. Sie können auch Ihre Spielergebnisse, Beiträge auf den Websites und Nachrichten in Chats und Foren sehen. Darüber hinaus können Ihr Alias und Ihr Profilbild in Spielbewertungen (Ranglisten) angezeigt werden, die auf einer Vielzahl von Internetressourcen platziert sind."
"privacy_policy_text_8"	"|5. DIE GEMEINSAME NUTZUNG VON BENUTZERDATEN MIT DRITTEN|In der Regel teilen wir Ihre Benutzerdaten nicht mit Dritten und wir gewährleisten immer die Vertraulichkeit Ihrer Daten. In einigen Fällen, die in dieser Datenschutzerklärung beschrieben sind, dürfen wir Ihre Benutzerdaten jedoch an Dritte weitergeben.|5.1. Wir dürfen Ihre Benutzerdaten an alle zuständigen Strafverfolgungsbehörden oder Aufsichts- oder Regierungsbehörden oder Gerichte zur Einhaltung der geltenden Gesetze oder auf ein offizielles und rechtliches Ersuchen hin weitergeben.|5.2. Analytik-Partner. Wir teilen einige Ihrer Benutzerdaten mit unseren Partnern, die Ihre Benutzerdaten für Statistiken und Analysen verarbeiten und Ihnen personalisierte Online-Werbung zur Verfügung stellen (im Folgenden „Analytik-Partner\" genannt). Zu diesen Partnern gehören beispielsweise Google Analytics und Yandex Metrics. Wir empfehlen Ihnen, deren Datenschutzerklärungen ebenfalls sorgfältig durchzulesen, um mehr über ihre Datenverarbeitungspraktiken zu erfahren. Die Analytik-Partner können Ihre Daten in zusammengefasster Form offenlegen, um Trends bei der Nutzung ihrer Dienste sowie auch bei Werbedienstleistungen aufzuzeigen oder einfach auch nur zu Marketingzwecken. Wir dürfen die Daten auch für unsere Benchmarking-Funktion sammeln."
"privacy_policy_text_9"	"|5.2.1. Die Einzelheiten zur Verwendung von Google Analytics|Die Spiele verwenden den Google Analytics-Webanalysedienst, der von Google Inc. bereitgestellt wird. Weitere Informationen darüber, wie Google Ihre Benutzerdaten sammelt und verarbeitet, erhalten Sie unter: $url href=\"https://policies.google.com/technologies/partner-sites?hl=en\" text=\"policies.google.com/technologies/partner-sites\"$. Um die Erfassung Ihrer Daten durch Google zu Analysezwecken kontrollieren zu können, können Sie das Opt-Out-Browser-Add-On für Google Analytics unter: $url href=\"https://tools.google.com/dlpage/gaoptout\" text=\"tools.google.com/dlpage/gaoptout\"$ installieren."
"Reject"	"VERLASSEN"
"terms_of_use_text_10"	"|i. versuchen, nichtautorisierten Zugriff auf die Dienste, Benutzerkonten anderer Personen oder versuchen, anders Zugriff auf die Computer, Server oder Netzwerke in Verbindung mit den Diensten zu erhalten, als uber die von Gaijin zur Verfugung gestellte Benutzeroberflache, einschließlich aber nicht begrenzt auf die Umgehung oder Veranderung, den Versuch der Umgehung oder Veranderung von Sicherheitsmaßnahmen, Technologien, Geraten oder Software, die Teil der Dienste sind bzw. der Versuch deren Umgehung oder Veranderung zu fordern bzw. dies zu unterstutzen.||j. Informationen veroffentlichen, die missbrauchlich, bedrohlich, obszon, diffamierend, verleumderisch oder rassistisch, sexistisch, religios oder anderweitig anstößig oder beleidigend sein konnten.||k. Informationen veroffentlichen, die Nacktheit, ubermaßige Gewaltdarstellung oder anstößige Darstellungen enthalten oder einen Link zu solcherlei Informationen beinhalten.||l. Material oder Informationen uber die Dienste zuganglich machen, die Urheberrechte, Markenrechte, Patentanspruche, Geschaftsgeheinisse, das Personlichkeitsrecht, das Recht auf Offentlichkeit oder die Rechte anderer Personen oder Gesellschaften verletzen, einschließlich aber nicht beschrankt auf Mitarbeiter von Gaijin.||m. die Dienste oder Teile davon fur kommerzielle Zwecke nutzen, einschließlich aber nicht beschrankt auf (1) die Kommunikation oder Unterstutzung kommerzieller Werbung bzw. gewerblicher Angebote oder (2) die Sammlung oder Ubertragung virtueller Gegenstande zum Zwecke des Verkaufs.||n. die Dienste oder Teile davon fur die Durchfuhrung von Dienstleistungen im Spiel, wie beispielsweise Power-Leveling sowie das Sammeln von Gegenstanden gegen Zahlung außerhalb des Dienstes oder||o. nichtautorisierte Mitteilungen uber die Dienste verbreiten, wie beispielsweise Junk Mail, Kettenbriefe, Spam sowie Informationen, die Malware, Spyware oder herunterladbare Objekte beinhalten.||p. die ordnungsgemaße Funktion der Dienste storen oder versuchen, diese zu storen, oder die Dienste auf eine Weise nutzen, die nicht ausdrucklich in den vorliegenden Geschaftsbedingungen gestattet sind.||r. nichtautorisierte Software von Dritten nutzen, die auf Informationen, die durch unsere Server oder unsere Dienste ubermittelt werden, zugreift, diese abfangt oder sammelt einschließlich aber nicht begrenzt auf Software, die RAM-Bereiche oder Datenstrome des Netzwerkverkehrs im Rahmen der Dienste liest, zu dem Zweck, Informationen uber Spielcharaktere, Elemente oder Umgebungen von Gaijin zu speichern. Gaijin kann nach eigenem Ermessen die Verwendung bestimmter Benutzeroberflachen von Drittanbietern erlauben."
"terms_of_use_text_11"	"|s. die von einem Client, einem Server oder Dienst verwendeten geschutzten Verbindungsprotokolle weder mithilfe eines Network Analyzers, eines Packet Sniffers oder einer sonstigen Vorrichtung abzufangen, zu untersuchen oder in anderer Weise zu beobachten||t. auf automatisierte Weise das System nutzen oder Handlungen unternehmen, die zu unangemessen oder unverhaltnismaßig großen Belastungen unserer Infrastruktur fuhren.||u. mogliche automatische Ausschlussheader oder anderweitige Maßnahmen umgehen, die von Gaijin eingesetzt werden, um den Zugriff auf Dienste zu beschranken oder Software, Technologien oder Gerate einsetzen, um Inhalte oder Nachrichten zu ubermitteln. Des Weiteren ist es nicht gestattet, Scrape, Spider oder Crawl-Techniken einzusetzen, um auf Dienste zuzugreifen oder Daten zu sammeln oder zu manipulieren.||v. nicht genehmigte Verbindungen zu den Diensten zu ermoglichen, aufzubauen oder aufrecht zu erhalten, einschließlich, ohne jedoch darauf beschrankt zu sein, (1) Verbindungen zu nicht genehmigten Servern, die Dienste oder Teile davon emulieren oder dies versuchen; und (2) Verbindungen, die Programme oder Tools verwenden, die nicht ausdrucklich von Gaijin genehmigt wurden;||w. außer in gesetzlich erlaubten Fallen die Software verandern, adaptieren, ruckzuentwickeln oder dekompilieren oder anderweitig versuchen, den Quellcode der Dienste oder anderes zugrundeliegendes geistiges Eigentum zu extrahieren oder Informationen durch die Dienste zu erlangen, indem Sie Prozesse einsetzen, die nicht ausdrucklich von Gaijin genehmigt wurden; oder||x. anders als in den Nutzungsbedingungen ausdrucklich erlaubt, Rechte oder Inhalte von Websites oder Spielen, Urheberrechte oder Marken von Gaijin kopieren, verandern oder vertreiben oder Methoden zum Kopieren oder Vertreiben der Inhalte der Dienste nutzen."
"terms_of_use_text_12"	"|y. personenbezogene Informationen von anderen Personen, die unsere Dienste in Anspruch nehmen, erheben oder den Versuch unternehmen, diese zu erheben.||z. uber die Dienste personliche Informationen, einschließlich personenbezogener Daten (sei es in Form von Text-, Bild- oder Videoformat), Ausweisdokumente oder Finanzinformationen erheben, sammeln oder veroffentlichen; oder||aa. ohne ausdruckliche Genehmigung von Gaijin Material, das der Sammlung von Informationen oder als Ubertragungsmittel dient ubermitteln oder den Versuch der Ubermittlung unternehmen, einschließlich aber nicht beschrankt auf transparente GIF-Grafikdateien (\"GIFs\", Zahlpixel, Web Bugs, Cookies oder ahnliche Methoden (auch bekannt als \"Spyware\").||bb. Offentliche Verbreitung von Informationen uber die Art und Weise und Methoden der Verletzungen dieser Nutzungsbedingungen und des $url href=\"https://crossout.net/de/support/eula/#/\" text=\"Nutzungsbedingungen und des Endbenutzer-Lizenzvertrags\"$ sowie offentlicher Aufruf zur Verletzung dieser Nutzungsbedingungen und des $url href=\"https://crossout.net/de/support/eula/#/\" text=\"Nutzungsbedingungen und des Endbenutzer-Lizenzvertrags\"$.||cc. Offentliche Verbreitung von Informationen (vollstandige oder teilweise Korrespondenz), die man infolge der Kommunikation mit dem Team des technischen Supports erlangt hat."
"terms_of_use_text_13"	"dd. Registrierung und Nutzung von mehr als einem Konto, um auf die Dienste zuzugreifen. Fur den Fall, dass ausreichende Grunde fur die Annahme vorliegen, dass mehr als ein Konto registriert oder verwendet wird, ist Gaijin dazu berechtigt, alle mit Ihnen verbundenen Konten einzuschranken, auszusetzen, aufzukundigen, zu andern oder zu loschen. Konten, die unter Verstoß gegen diese Regel registriert wurden, nehmen nicht an Empfehlungsprogrammen teil (falls vorhanden).||ee. das Verwenden von IP-Proxys oder anderen Methoden, um die Region (das Land) Ihres aktuellen Standorts zu verschleiern, entweder um geographische  Einschrankungen zu umgehen und virtuelle Wahrung oder virtuelle Objekte zu Preisen zu erwerben, die nicht fur Ihre Region gultig sind, oder fur jegliche andere Zwecke."
"terms_of_use_text_14"	"|Transaktionen auf dem Markt im Spiel||Jegliche Transaktionen, bei denen der Kaufer weiß, wer der Verkaufer ist, und ein Verkaufer weiß, wer den Gegenstand im Spiel oder irgendeinen anderen Wert im Spiel kauft, sind zwischen Spielern auf dem Markt im Spiel strengstens verboten („Vorgehensweise bei Transaktionen im Spiel“). Gaijin behalt sich das Recht vor, sein eigenes System zur Uberprufung von Transaktionen auf dem Markt im Spiel zu entwickeln und anzuwenden, wie eine Vorgehensweise bei Transaktionen im Spiel.||Transaktionen im Spiel zwischen Spielern bezuglich Verkauf und Kauf von Gegenstanden und Spielwahrung fur echtes Geld auf dem Markt im Spiel oder außerhalb sind verboten.||Laufzeit und Kundigung||Die Laufzeit dieser Nutzungsbedingungen (\"Laufzeit\") beginnt mit der Nutzung der Website und/oder der angebotenen Dienste und besteht auf unbegrenzte Dauer, sofern sie nicht durch Gaijin schriftlich beendet wird. Gaijin behalt sich vor, zu jeder Zeit samtliche Dienste oder Teile hiervon zu andern, auszusetzen oder ganz einzustellen und kann Ihre Nutzung der Dienste zu jeder Zeit beenden. Unbeschadet sonstiger Rechte oder Anspruche enden diese Nutzungsbedingungen automatisch, wenn Sie gegen die darin enthaltenen Bedingungen und Konditionen verstoßen. Bei Ablauf oder die Kundigung dieser Nutzungsbedingungen mussen Sie die Nutzung der Dienste umgehend einstellen. Dies betrifft auch aber nicht ausschließlich die Nutzung von Marken, Markennamen, Urheberrechte und anderes intellektuelles Eigentum von Gaijin."
"terms_of_use_text_17"	"|Zusicherungen Ihrerseits| |HIERMIT BESTATIGEN SIE, DASS: (i) SAMTLICHE INFORMATIONEN, DIE SIE GAIJIN IN VERBINDUNG MIT DIESER SEITE UND/ODER DIENSTEN WAHR UND RICHTIG SIND; (ii) SIE DIE VOLLMACHT UND BEFUGNIS BESITZEN, AUF DIE NUTZUNGSBEDINGUNGEN ZUZUGREIFEN; (iii) SIE ALLEN VERPFLICHTUNGEN IM RAHMEN DER NUTZUNGSBEDINGUNGEN IN UBEREINSTIMMUNG DEM JEWEILS GELTENDEN RECHT NACHKOMMEN; UND (v) SAMTLICHE MATERIALIEN, TEXTE, GRAFIKEN, AUDIOVISUELLE MATERIALIEN SOWIE ANDERE INHALTE (\"BENUTZERMATERIAL\"), DIE SIE GAIJIN ODER ANDEREN ENDNUTZERN DIESER WEBSITE ZUR VERFUGUNG STELLEN UND DIE NICHT VON GAIJIN ODER DEREN WEBSITE BEREITGESTELLT WURDEN, WEDER (1) DIE URHEBERRECHTE DRITTER VERLETZEN, NOCH (2) VERLEUMDUNG, BELEIDIGUNG ODER OBSZONITATEN DARSTELLEN, (3) VERBRAUCHERBETRUG, PRODUKTHAFTUNG, VERTRAGSBRUCH ODER DIE VERLETZUNG VON DRITTEN NACH SICH ZIEHEN, (4) GEWALT ODER HASSBOTSCHAFTEN VERBREITEN, (5) GEGEN GELTENDES RECHT, STATUTEN, VERFUGUNGEN ODER VORSCHRIFTEN VERSTOSSEN ODER (6) NICHT JUGENDFREIE INHALTE ENTHALTEN BZW. ILLEGALE AKTIVITATEN FORDERN.||Diese Website kann Links zu anderen Websites enthalten, die nicht unter der Kontrolle von Gaijin stehen. Gaijin ist fur den Inhalte dieser anderen Websites in keiner Weise verantwortlich. Gaijin stellt diese Links nur als Serviceleistung zur Verfugung und das Anbieten dieser Links bedeutet nicht, dass Gaijin den Inhalt dieser Websites billigt oder unterstutzt."
"terms_of_use_text_18"	"|Material Dritter||Um diese Website und/oder Dienste zu verwenden, mussen Sie moglicherweise bestimmte Produkte (d.h. Gerate) von Drittanbietern (\"Drittanbietermaterial\") kaufen und/oder nutzen. Fur Drittanbietermaterial wird hiermit (i) keine Lizenz erteilt; (ii) Drittanbietermaterial steht nicht unter der Kontrolle oder Lizenz von Gaijin; (iii) daruber hinaus unterliegt jegliches Drittanbietermaterial den jeweiligen Lizenzen und geltenden Geschaftsbedingungen der entsprechenden Drittanbieter, die Sie annehmen mussen, bevor oder nachdem Sie das Drittanbietermaterial installieren und/oder nutzen sowie bevor Sie diese Website und/oder Dienste nutzen. Eine Liste uber diese Art von Drittanbietermaterial erhalten Sie auf schriftliche Anforderung bei Gaijin. Ungeachtet jeglicher anders lautender Bestimmungen darf keine Formulierung in diesen Bedingungen als Ubertragung einer Lizenz oder eines Rechts in Zusammenhang mit solcherlei Drittanbietermaterial angesehen werden oder die Nutzung solcherlei Drittanbietermaterial einraumen."
"terms_of_use_text_19"	"|Geistiges Eigentum| |Sie bestatigen hiermit, dass samtliche Rechte, Titel und Interessen an Urheberrechten einschließlich samtlicher Patente, Copyrights, Handelsmarken, Geschaftsgeheimnisse sowie samtlicher anderer Eigentumsrechte dieser Website und/oder deren Inhalten (einschließlich jeglicher Software, Dienstleistungen, Audio-, Video-, Text- und Fotomaterialien) ausschließlich und exklusiv bei Gaijin und/oder deren Lizenzgebern liegen. Alle Rechte an der Seite und/oder deren Inhalte, die hier nicht ausdrucklich gewahrt werden, bleiben vorbehalten Sie erklaren hiermit, dass Sie, sofern dies nicht ausdrucklich genehmigt wurde, die Website und/oder deren Inhalte, Produkte oder Dienste weder kopieren, reproduzieren, ablichten, herunterladen, ubertragen, verandern, vermieten, verleihen, vertreiben, ubertragen, verbreiten, lizenzieren, unterlizenzieren ruckentwickeln oder abgeleitete Werke erstellen. Soweit nicht ausdrucklich ausgeschlossen, durfen die auf dieser Website veroffentlichten Inhalte nur in unveranderter Form fur die nichtkommerzielle, personliche Nutzung reproduziert und weitergegeben werden. Jede anderweitige Verwendung des Inhalts, einschließlich dem Vertrieb, der Reproduktion, Veranderung, Darstellung oder Verbreitung ohne vorherige schriftliche Genehmigung durch Gaijin ist strengstens untersagt. Samtliche Urheber- und Eigentumshinweise mussen bei der Reproduktion beibehalten werden.| |Gaijin distanziert sich hiermit von samtlichen Rechten an Markenzeichen, Dienstleistungsmarken, Handelsnamen, Logos, Urheberrechten, Patenten, Domainnamen oder andere Interessen geistigen Eigentums von Dritten. Samtliche vorstehend genannten intellektuellen Eigentumsrechte von Dritten gehoren den jeweiligen Eigentumern. Drittanbietermaterial ist Eigentum der jeweiligen Eigentumer. Gaijin distanziert sich von samtlichen Urheberrechten, die nicht das eigene geistige Eigentum betreffen.| |Hinweis und Verfahren zur Anmeldung von Anspruchen wegen Urheberrechtsverletzung.| |Wenn Sie der Ansicht sind, dass Material auf dieser Website Ihre Urheberrechte verletzt, kontaktieren Sie bitte schriftlich Gaijins Vertreter fur Urheberrechtsfragen. Ihr Anschreiben sollte die nachstehenden Informationen enthalten. Beachten Sie bitte, dass dieses Verfahren nur fur die Anmeldung von Anspruchen wegen Urheberrechtsverletzung gegenuber Gaijin und deren Tochtergesellschaften vorgesehen ist.| ||Eine elektronische oder physische Unterschrift der Person, die im Namen des Eigentumers des Urheberrechts handelt;|Eine Beschreibung der Arbeit, deren Urheberrecht Ihrer Meinung nach verletzt wurde;|Eine Beschreibung wo sich das Material, dessen Urheberrecht Ihrer Ansicht nach verletzt wurde, auf der Website befindet, ggf. einschließlich Auktionsnummer; Ihre Anschrift, Telefonnummer und E-Mail-Adresse;|Eine Erklarung, dass Sie in gutem Glauben der Ansicht sind, dass die Nutzung des beanstandeten Inhalts nicht vom Urheberrechtsinhaber, dessen Handlungsbevollmachtigten oder durch geltendes Recht genehmigt wurde;|Eine eidesstattliche Erklarung, dass die ubermittelten Angaben korrekt und Sie der Urheberrechtsinhaber oder dessen Handlungsbevollmachtigter sind.|Sie erreichen Gaijins Vertreter fur Urheberrechtsfragen im Zusammenhang mit dieser Website wie folgt: ||Anschrift:  Kyriakou Matsi, 10 Liliana Building, 2nd floor Office 203, PC 1082 Nicosia, Cyprus ||E-Mail: legals#@gaijinent.com"
"terms_of_use_text_2"	"|Zustimmung zu den Nutzungsbedingungen||Gaijin stellt Ihnen diese Website sowie alle darin enthaltenen Informationen, Grafiken, Dokumente, Texte, Produkte sowie alle anderen Elemente der Website, alle Produkte, die auf dieser Website angeboten werden und alle durch die Website verfugbar gemachten Dienstleistungen (\"Dienste\") im Rahmen der Geschaftsbedingungen zur Verfugung, die Bestandteil dieses Dokuments sind. Indem Sie diese Website besuchen oder uber diese Website verfugbar gemachte Dienste von Gaijin nutzen, stimmen Sie den nachfolgenden Geschaftsbedingungen sowie samtlichen Bedingungen, auf die darin Bezug genommen wird sowie anderen auf dieser Website dargelegten Bestimmungen vollstandig und vorbehaltlos zu. Sollten Sie nicht vollstandig mit den Geschaftsbedingungen einverstanden sein, nutzen Sie diese Website und/oder Dienste bitte NICHT. Sollten Sie zusatzlichen Bestimmungen, die sich auf bestimmte Inhalte (wie nachstehend dargelegt) beziehen, oder auf bestimmte Transaktionen, die durch diese Website durchgefuhrt werden, nicht zustimmen, sollten Sie die Teile der Website, die sich auf diese Inhalte oder Transaktionen beziehen, meiden und die entsprechenden Inhalte und Transaktionen nicht nutzen.||Die folgenden Einschrankungen und Bedingungen gelten fur die Nutzung von Diensten sowie fur die Erstellung und Nutzung des Benutzerkontos (wie nachstehend dargelegt):"
"terms_of_use_text_20"	"|Software||Bestimmte Software von Gaijin und deren Lizenzgebern, die in Zusammenhang mit dieser Website (\"Software\") zum Download bereitgestellt wird, ist nach den Bestimmungen des zugrundeliegenden Lizenzvertrags unter $url href=\"https://crossout.net/de/support/eula/#/\" text=\"http://crossout.net/de/support/eula\"$ (Endbenutzer-Lizenzvereinbarung \"EULA\") lizensiert. Sowohl Software als auch begleitende Dokumentationen, die Ihnen zur Verfugung gestellt werden, sind urheberrechtlich geschutzte Werke von Gaijin oder deren Lizenzgebern. Soweit in der geltenden EULA nichts anderes angegeben wurde, darf die Software nur von Ihnen genutzt und darf ausdrucklich weder kopiert, reproduziert noch verbreitet werden. Sie mussen den Bedingungen der zugrundeliegenden EULA zustimmen, um die Software herunterladen oder nutzen zu durfen.||Das lizenzierte Programm oder Teile der Webseite, deren Produkte oder Dienste durfen, soweit hierin oder durch die zugrundeliegende Lizenzvereinbarung nicht ausdrucklich genehmigt, weder kopieren, neuveroffentlichen, ablichten, emulieren, klonen, herunterladen, ubertragen, verleihen, vermieten, vertreiben, ubertragen, lizenzieren, unterlizenzieren, dekompilieren, zerlegen, ruckentwickeln oder abgeleitete Werke erstellen. Durch eine Zuwiderhandlung wird die Berechtigung, diese Website zu nutzen und gegebenenfalls die Berechtigung, die Software und Dienste von Gaijin zu nutzen sofort und automatisch beendet. Daruber hinaus kann dies eine zivilrechtliche oder strafrechtliche Verfolgung nach sich ziehen.||ETWAIGE GARANTIEN IN BEZUG AUF SOLCHE SOFTWARE, PRODUKTE UND DIENSTE GELTEN NUR GEMASS DEN IM JEWEILS GELTENDEN LIZENZVERTRAG GENANNTEN BEDINGUNGEN. GAIJIN LEHNT AUSDRUCKLICH SAMTLICHE GEWAHRLEISTUNGEN UND HAFTUNGSANSPRUCHE JEGLICHER ART AB BEZUGLICH DER VERKAUFBARKEIT, EIGNUNG FUR EINEN BESTIMMTEN ZWECK ODER EINE GEWAHRLEISTUNG, DASS DIE SOFTWARE KEINE VERLETZUNG IRGENDWELCHER RECHTE ZUR FOLGE HAT.||Ohne die vorherigen Bestimmungen einzuschranken, ubernimmt Gaijin keine Gewahrleistung dafur, dass die Dienste und Produkte Ihren Anforderungen genugen, ununterbrochen, zeitgerecht, sicher oder fehlerfrei funktionieren, die durch die Nutzung der Dienste oder Materialien erzielten Ergebnisse genau und zuverlassig sind, die Qualitat der Dienste oder Produkte, die Sie durch die Website erworben oder bezogen haben, Ihren Erwartungen entspricht und etwaige Fehler auf der Website oder in Zusammenhang mit den Diensten korrigiert werden."
