"ADVENTURE_REWARD_BONUS"	"Plus"
"eula1_text_13"	"|3.7. Mesures de protection supplementaires. Uniquement dans le but de prevenir un usage sans licence du Produit, le Logiciel peut installer sur votre ordinateur des mesures techniques destinees a empecher l'utilisation sans licence du Produit et Gaijin peut utiliser cette technologie pour verifier que vous disposez d'un exemplaire sous licence du Produit. Au cours de ce processus, Gaijin ne recueillera pas de donnees personnelles en provenance de votre ordinateur.||3.8. Suspension de l'Accord. SANS LIMITER LA PORTEE DE TOUT AUTRE RECOURS, GAIJIN PEUT LIMITER, SUSPENDRE, RESILIER, MODIFIER, OU SUPPRIMER DES COMPTES OU L'ACCES AU PRODUIT EN TOUT OU EN PARTIE SI GAIJIN VOUS SUPECTE OU SI VOUS NE VOUS CONFORMEZ PAS A CET ACCORD OU POUR TOUTE UTILISATION DU PRODUIT AVEREE OU SUSPECTEE D'ETRE ABUSIVE OU ILLEGALE, SANS NECESSAIREMENT VOUS EN AVISER AU PREALABLE. VOUS POUVEZ PERDRE VOTRE NOM D'UTILISATEUR ET VOTRE PERSONA A LA SUITE D'UNE RESILIATION OU D'UNE RESTRICTION DE COMPTE, AINSI QUE TOUS LES AVANTAGES, PRIVILEGES, OBJETS GAGNES ET OBJETS ACHETES ASSOCIES A VOTRE COMPTE, ET GAIJIN N'EST PAS TENU DE VOUS DEDOMMAGER POUR DE TELS RESULTATS OU PERTES.||3.9. Vos garanties. PAR LE PRESENT DOCUMENT, VOUS GARANTISSEZ QUE :||(i) TOUTES LES INFORMATIONS QUE VOUS AVEZ FOURNIES A GAIJIN EN RELATION AVEC CET ACCORD SONT VERIDIQUES ET JUSTES ;|(ii) VOUS AVEZ PLEIN POUVOIR ET AUTORITE DE CONCLURE CET ACCORD ;|(iii) VOUS REMPLIREZ VOS OBLIGATIONS DANS LE CADRE DE CET ACCORD, ET CONFORMEMENT A LA LOI EN VIGUEUR."
"eula1_text_14"	"|4. ABSENCE DE GARANTIE ET EXCLUSION DE GARANTIE||4.1. Recours du client. Toute la responsabilite de Gaijin et de ses fournisseurs, ainsi que votre recours exclusif en cas d'infraction a la garantie susdite seront choisis par Gaijin en fonction des elements suivants :||(i) remboursement du prix d'achat pour la licence octroyee en vertu du present document ou|(ii) la correction de defauts, « bogues » ou erreurs dans un delai raisonnable. Cette garantie limitee est nulle si le defaut resulte d'un accident, abus ou mauvaise application."
"eula1_text_15"	"|4.2. ABSENCE DE GARANTIE IMPLICITE OU AUTRES. A L'EXCEPTION DE LA PRESENTE GARANTIE LIMITEE ET POUR TOUTE GARANTIE, CONDITION, REPRESENTATION OU TERME DANS LA MESURE OU LA MEME NE PEUT PAS OU N'EST PAS SUSCEPTIBLE D'ETRE EXCLUE OU LIMITEE PAR LA LOI QUI VOUS EST APPLICABLE DANS VOTRE JURIDICTION, LE LOGICIEL EST FOURNI « TEL QUEL », SANS GARANTIE DE QUELQUE NATURE QUE CE SOIT, ET GAIJIN NE FOURNIT AUCUNE PROMESSE, REPRESENTATION OU GARANTIE, EXPRESSE OU TACITE, (STATUT, DROIT COMMUN, COUTUME, USAGE OU AUTRE) EN RELATION AVEC LE PRODUIT OU LE CONTENU CI-INCLUS, OU AVEC TOUT AUTRE CONTENU QUI VOUS EST ATTRIBUE OU FOURNI CONFORMEMENT A CET ACCORD OU AUTRE. VOUS PRENEZ TOUS LES RISQUES ET ASSUMEZ TOUTES LES RESPONSABILITES QUANT A LA SELECTION DU PRODUIT VISANT A OBTENIR LES RESULTATS ESCOMPTES, AINSI QUE POUR L'INSTALLATION, L'UTILISATION ET LES RESULTATS OBTENUS PAR L'UTILISATION DU PRODUIT. GAIJIN NE GARANTIT PAS QUE LE PRODUIT N'EST PAS EXEMPT D'ERREURS, QU'IL NE SOUFFRIRA D'AUCUNE INTERRUPTION OU DEFAILLANCE, OU QU'IL SERA COMPATIBLE AVEC TOUT MATERIEL ET TOUT LOGICIEL. DANS LE CADRE MAXIMUM AUTORISE PAR LA LOI, GAIJIN REJETTE TOUTE GARANTIE, PRESCRITE OU IMPLICITE, NOTAMMENT (SANS LIMITATION) LES GARANTIES DE VALEURS MARCHANDES, DE NON-CONTREFACON DE DROITS D'AUTEUR DE TIERS, D'INTEGRATION, DE QUALITE ADEQUATE OU D'ADEQUATION POUR TOUTE CONDITION PARTICULIERE LIEE AU PRODUIT OU A LA DOCUMENTATION L'ACCOMPAGNANT. CERTAINES JURIDICTIONS INTERDISENT LES LIMITATIONS SUR LES GARANTIES IMPLIQUEES, PAR CONSEQUENT LES LIMITATIONS CI-DESSUS PEUVENT NE PAS S'APPLIQUER A VOUS. VOUS RECONNAISSEZ PAR LA PRESENTE QUE LE PRODUIT PEUT NE PAS ETRE OU DEVENIR DISPONIBLE EN RAISON D'UN CERTAIN NOMBRE DE FACTEURS, Y COMPRIS ET SANS LIMITATION LA MAINTENANCE DU SYSTEME PERIODIQUE, REGULIERE OU NON PROGRAMMEE, DES CATASTROPHES NATURELLES, UNE DEFAILLANCE TECHNIQUE DU LOGICIEL, DE L'INFRASTRUCTURE DES TELECOMMUNICATIONS, OU UN RETARD OU DES PERTURBATIONS IMPUTABLES AUX VIRUS, ATTAQUES PAR DENI DE SERVICE, UNE FORTE DEMANDE OU DES FLUCTUATION DE LA DEMANDE ET LES ACTIONS ET OMISSIONS DE TIERS. PAR CONSEQUENT, GAIJIN DECLINE EXPRESSEMENT TOUTE GARANTIE EXPRESSE OU IMPLICITE CONCERNANT LA DISPONIBILITE, L'ACCESSIBILITE OU LES PERFORMANCES DU SYSTEME ET/OU DU LOGICIEL. GAIJIN DECLINE TOUTE RESPONSABILITE QUANT A LA PERTE DE DONNEES LORS DE TOUTE COMMUNICATION ET TOUTE RESPONSABILITE LIEE A DES FAUTES COMMISES PAR GAIJIN POUR VOUS TRANSMETTRE DES INFORMATIONS COMPLETES OU PRECISES."
"eula1_text_16"	"|4.3. RESPONSABILITE LIMITEE, ABSENCE DE RESPONSABILITE POUR LES DOMMAGES INDIRECTS. VOUS VOUS ENGAGEZ A ASSUMER TOUTE RESPONSABILITE RELATIVE A VOTRE UTILISATION DU PRODUIT ET DES INFORMATIONS CONTENUES ET/OU COMPILEES DANS LE PRODUIT, AINSI QU'AUX DOMMAGES LIES A L'INTERACTION (OU LA MAUVAISE INTERACTION) AVEC TOUT AUTRE MATERIEL OU LOGICIEL FOURNI PAR GAIJIN OU DES TIERS. DANS LE CADRE MAXIMUM AUTORISE PAR LA LOI APPLICABLE, GAIJIN ET SES FOURNISSEURS NE SERONT PAS TENUS POUR RESPONSABLES EN CAS DE DOMMAGES, INCLUANT (SANS LIMITATION) : PERTE DE REVENUS PROFESSIONNELS, INTERRUPTION DU TEMPS DE TRAVAIL, PERTE D'INFORMATIONS PROFESSIONNELLES, DEFECTION DE CLIENTS, IMPOSSIBILITE DE TRAVAILLER, MATERIEL OU LOGICIELS ENDOMMAGES OU EN PANNE, COUTS DE REPARATION, VALEUR TEMPORELLE, OU TOUTE AUTRE PERTE PECUNIAIRE) SURVENANT A LA SUITE DE L'UTILISATION OU DE L'IMPOSSIBILITE D'UTILISATION DU PRODUIT, OU D'UNE INCOMPATIBILITE DU PRODUIT AVEC TOUT MATERIEL OU LOGICIEL, ET CE, MEME SI L'UTILISATEUR A ETE AVERTI DE LA POSSIBILITE DE TELS DOMMAGES. QUEL QUE SOIT LE CAS DE FIGURE, LA RESPONSABILITE TOTALE DE GAIJIN POUR TOUS DOMMAGES ET CAUSES D'ACTION (QUE CE SOIT DE MANIERE CONTRACTUELLE, DELICTUELLE OU AUTRE) NE PEUT EN AUCUN CAS DEPASSER LA SOMME QUE VOUS AVEZ PAYEE POUR VOUS PROCURER LE PRODUIT. CETTE LIMITATION DE GARANTIE NE S'APPLIQUE PAS AUX DOMMAGES CORPORELS OU AU DECES DANS LA MESURE OU LE DROIT APPLICABLE INTERDIT UNE TELLE LIMITATION. DE PLUS, COMME CERTAINES JURIDICTIONS INTERDISENT L'EXCLUSION OU LA LIMITATION DE RESPONSABILITE POUR LES DEGATS CONSECUTIFS OU ACCIDENTELS, LA LIMITATION CI-DESSUS PEUT NE PAS S'APPLIQUER A VOUS."
"eula1_text_17"	"|5. Vos Renseignements et la Politique de confidentialite de Gaijin||5.1. Politique de confidentialite. Vous acceptez par le present document que Gaijin traite vos donnees personnelles (susceptibles d'etre recueillies par Gaijin ou ses distributeurs) conformement a la Politique de confidentialite de Gaijin (en vigueur au moment de son application) qui est incluse dans cet Accord par reference (voir $url href=\"https://crossout.net/fr/support/privacypolicy\" text=\"https://crossout.net/fr/support/privacypolicy\"$​). En acceptant cet Accord, vous donnez votre autorisation pour que Gaijin puisse recueillir et conserver des renseignements a votre sujet, notamment votre nom, votre adresse email et des informations relatives a votre carte de credit. Gaijin fait appel a des entreprises tierces et des individus pour realiser des taches en son nom. Par exemple, traiter des commandes, expedier des colis, envoyer des courriers postaux et electroniques, supprimer les doublons dans les listes de clients, analyser des donnees, fournir une aide marketing, traiter les paiements par carte de credit et fournir un service d'assistance a la clientele. Ces entreprises tierces ont acces a des informations personnelles necessaires pour mener a bien ces taches, mais elles n'utiliseront pas ces informations a d'autres fins. Gaijin a publie une politique de confidentialite sur son site web et se reserve le droit d'y apporter des modifications de temps a autre, et ce, a sa seule et entiere discretion. Avant d'accepter cet Accord, il est vivement conseille de consulter la Politique de confidentialite de Gaijin afin d'en apprendre davantage sur la maniere dont Gaijin entreposera et utilisera vos coordonnees. Si vous representez une organisation, vous vous engagez a garantir que chaque membre de votre organisation (y compris les employes et les parties contractantes), dont les donnees personnelles peuvent etre fournies a Gaijin, a explicitement consenti au traitement par Gaijin desdites donnees personnelles. Les donnees personnelles seront traitees par Gaijin ou ses distributeurs dans le pays ou lesdites donnees ont ete recueillies, et peut-etre aux Etats-Unis et en Russie. Les lois de ces pays, relatives aux traitements des informations personnelles, sont susceptibles d'etre plus ou moins rigoureuses que les lois en vigueur dans votre juridiction."
"eula1_text_18"	"|6. Divers||6.1. Loi applicable ; competence juridictionnelle et lieu des proces. Cet Accord sera regi, interprete et applique conformement aux lois du Commonwealth de Virginie, et ce, sans tenir compte des regles et principes des normes divergentes de la legislation. Dans le cadre maximal autorise par la loi, les clauses de cet Accord prevaudront sur toute clause du code de commerce uniforme, quant au Produit, et ce, dans toute juridiction legale. Cet Accord ne sera pas assujetti a la Convention des Nations Unies sur les contrats de vente internationale de marchandises, dont l'application est expressement rejetee et exclue. Si vous residez aux Etats-Unis, a des fins de determination de juridiction personnelle, les tribunaux federaux et d'Etat au sein du Commonwealth de Virginie sont exclusivement competents pour regler tout litige decoulant de cet Accord. Vous acceptez que cet Accord soit applique au sein du Commonwealth de Virginie, et en cas d'action en justice, de litige, de differend ou de reclamation dans le cadre de cet Accord, ou emanant de/afferant a cet Accord ou de/a toute violation presumee de celui-ci, vous vous presenterez devant les tribunaux d'Etat ou federaux dans le Commonwealth de Virginie, et, dans le cadre maximum autorise par la loi en vigueur, par le present document, vous renoncez au droit de changer de juridiction pour un autre Etat, un autre pays, une autre region ou une autre juridiction, a la condition que le bailleur de licence, en tant que requerant, ait le droit d'engager des poursuites devant n'importe quel tribunal de juridiction competente. Si vous ne residez pas aux Etats-Unis, vous acceptez que tout litige, differend ou reclamation emanant de cet Accord soit determine et regle par arbitrage en accord avec la Chambre de commerce international, conformement aux regles d'arbitrage de la Chambre de commerce international (le « reglement »). La partie requerante nommera un mediateur et la partie defenderesse nommera un mediateur, et les deux mediateurs nommeront alors le troisieme mediateur conformement aux clauses de ce reglement. L'arbitrage se deroulera a Washington, DC, Etats-Unis. La langue de l'arbitrage sera l'anglais. Toute decision prise par le(s) mediateur(s) sera sans appel, devra imperativement etre respectee par toutes les parties impliquees et constituera le seul et unique recours relatif a tout litige entre les parties, relativement au litige resolu par ledit arbitrage."
"eula1_text_19"	"|6.2. Delais de recours. Aucune action en justice, de quelque nature que ce soit, decoulant de cet Accord, ne peut etre entreprise plus d'un (1) an a compter de la date a laquelle sont survenues les circonstances faisant l'objet de ladite action en justice, ou de la decouverte desdites circonstances, a l'exception des cas de violation des droits de propriete intellectuelle ; dans ces cas de figure, c'est la periode de limite maximum prevue par la loi qui fait foi.||6.3. Accord integral ; divisibilite ; absence de renonciation. Cet Accord constitue l'integralite du contrat entre vous et Gaijin, et remplace tout Accord ainsi que toute proposition, toute communication ou toute publicite prealables (verbales ou ecrites) relatifs au Produit ou aux clauses de cet Accord, sous reserve que Gaijin et vous puissiez prealablement, simultanement ou via un Accord ecrit ulterieur, restreindre, modifier ou alterer l'applicabilite des clauses de cet Accord, comme le prevoit cette section 6.3 de l'Accord, et fournir expressement de telles limitations, modification ou alterations. Vous reconnaissez avoir lu cet Accord, en avoir compris la signification, et que vous etes dorenavant lie aux clauses dudit Accord. Vous reconnaissez avoir lu cet Accord, en avoir compris la signification, et que vous etes dorenavant lie aux clauses dudit Accord. Si l'une des clauses (quelle qu'elle soit) de cet Accord est consideree par un tribunal competent comme non valide, nulle et non avenue, ou non applicable, et ce, en tout ou partie, et pour quelque raison que ce soit, la ou les mesures concernees seront interpretees de maniere plus stricte afin d'avoir applicabilite et force juridiques, et l'Accord, dans son ensemble, ne perdra pas sa signification et restera coherent avec la loi en vigueur. Aucune renonciation a une derogation faite a une clause de cet Accord ne constitue une renonciation d'une derogation prealable, concomitante ou ulterieure, et aucune renonciation ne sera consideree comme recevable a moins d'avoir ete faite par ecrit."
"eula1_text_2"	"|Les conditions d'utilisation de ce Produit (telles qu'elles sont stipulees ci-dessous) et les services ci-inclus sont assujettis a la Politique de confidentialite (« Politique de confidentialite ») $url href=\"https://crossout.net/fr/support/privacypolicy\" text=\"https://crossout.net/fr/support/privacypolicy\"$​ .Vous acceptez les conditions d'utilisation dans leur integralite, disponibles a l'adresse suivante : $url href=\"https://crossout.net/fr/support/termsofuse\" text=\"https://crossout.net/fr/support/termsofuse\"$ . Ce Contrat de Licence Utilisateur Final electronique (l' « Accord ») est un accord legal entre vous (un individu ou une entite), (le « titulaire de la licence ») et Gaijin Network Ltd. (Adresse: Kyriakou Matsi, 10 Liliana Building, 2nd floor Office 203, PC 1082 Nicosia, Cyprus) (« Gaijin »), a l'exception des conditions enoncees au paragraphe 6.5 du present accord, relativement au jeu en ligne Crossout (le « Jeu »), et aux logiciels connexes, que vous etes sur le point de telecharger, que vous avez telecharges ou que vous avez obtenus par l'intermediaire des services de Gaijin, ou via toute communication reseau, sous forme de code objet, notamment (sans limitation) : (a) tous les contenus de fichiers ou tout autre media relatifs a cet Accord (« le Logiciel »), (b) toute mise a niveau, revision, tout correctif, toute amelioration, modification fixe, copie, tout ajout ou toute edition du programme ulterieurs (le cas echeant) vous etant fournie sous licence par Gaijin (appeles collectivement ci-apres les « mises a jour ») sous reserve que les Mises a jour n'incluent pas des versions ulterieures du Logiciel ou du Jeu entrainant un nouveau titre ou un nombre dans le titre tel que 2.0 or 3.0 (« Nouvelles versions ») mais incluent toute revision mineure de la version du Logiciel ou du Jeu peut-etre indiquee par une modification dans le nombre, telle que 2.5 ou 2.6, et (c) toute documentation utilisateur et tout document ou fichier d'explication fourni sous forme de sortie papier (ecrite) ou sous forme en ligne (« la Documentation », et collectivement, le logiciel et les mises a jour inclus, ci-apres : « le Produit »). Vous etes assujetti aux conditions de ce Contrat de licence de l'utilisateur final, que vous accediez au Produit directement aupres de Gaijin, ou via toute autre source. Dans le cadre de cet Accord, le terme « vous » represente une personne installant ou utilisant le Produit en son nom."
"eula1_text_20"	"|6.4. Coordonnees. Si vous avez des questions relatives a cet Accord, ou si vous souhaitez contacter Gaijin, et ce pour quelque raison que ce soit, veuillez envoyer un email a notre service clients : legals#@gaijinent.com||6.5. Veuillez noter : Pour les versions sur console du Jeu (pour les plateformes telles que Xbox et PlayStation), vous concluez un accord legal avec Gaijin Distribution Kft., une entreprise situee a l'adresse Andrassy ut 100, 1062 Budapest, Hongrie, selon les termes de cette Politique de confidentialite.||Copyright © 2018. Gaijin Network Ltd. et ses bailleurs de licence. Tous droits reserves. Le Produit, y compris le Logiciel et toute documentation connexe, sont proteges par les lois de droit d'auteur et les traites internationaux relatifs aux droits d'auteur, ainsi que par toute autre loi et tout autre traite relatifs a la propriete intellectuelle."
"eula1_text_3"	"|Dans le cadre de cet Accord, le « site Gaijin » represente le site web sur Internet, regi par Gaijin ou au nom de Gaijin, en relation avec les Jeux, et tous les services connexes, tels qu'ils sont decrits dans les Conditions d'utilisation $url href=\"https://crossout.net/fr/support/termsofuse\" text=\"https://crossout.net/fr/support/termsofuse\"$ et le Produit. Actuellement, le site Gaijin se trouve a l'adresse : $url href=\"http://crossout.net/fr\" text=\"http://crossout.net\"$.||En installant le Produit (client), et/ou en completant l'inscription connexe et l'acces au jeu, le telechargement, le stockage, le chargement, l'installation, l'execution, l'affichage, la copie du Produit dans la memoire d'un ordinateur ou tout autre avantage tire de l'utilisation du Produit conformement a la Documentation (« Fonctionnement »), vous acceptez d'etre lie par les termes du present Accord. Si vous n'acceptez pas les conditions du present Accord, Gaijin refuse de vous accorder une licence du Produit. Dans ce cas, vous ne pouvez pas utiliser le Produit a quelque fin que ce soit.||LISEZ SOIGNEUSEMENT LES CONDITIONS DE CET ACCORD AVANT DE CLIQUER SUR LE BOUTON « JE SUIS D'ACCORD ». CLIQUER SUR LE BOUTON « JE SUIS D'ACCORD » REVIENT A SIGNER CE CONTRAT. EN CLIQUANT SUR LE BOUTON « JE SUIS D'ACCORD », VOUS ACCEPTEZ D'ETRE LIE A CET ACCORD ET DE DEVENIR PARTIE AU PRESENT ACCORD. VOUS ACCEPTEZ EGALEMENT QUE CE CONTRAT SOIT APPLICABLE, AU MEME TITRE QUE TOUT ACCORD ECRIT QUE VOUS AVEZ SIGNE. SI VOUS N'ACCEPTEZ PAS TOUTES LES CONDITIONS DE CET ACCORD, CLIQUEZ SUR LE BOUTON « QUITTER » ET LE LOGICIEL NE SERA PAS INSTALLE SUR VOTRE ORDINATEUR. Ce Produit ne sera pas installe sur votre ordinateur si vous n'acceptez pas les conditions de cet Accord. Vous pouvez recevoir une copie de cet Accord en contactant Gaijin a l'adresse : legals#@gaijinent.com."
"eula1_text_4"	"|1. Droit de propriete et non-divulgation.||1.1. Droit de propriete. Vous acceptez que le Produit et sa paternite, ainsi que les systemes, les idees, les methodes d'exploitation, la documentation et toute autre information incluse dans le Produit soient la propriete intellectuelle et/ou des secrets de fabrication de Gaijin, ou de ses fournisseurs, et/ou de ses bailleurs de licence, et qu'ils soient proteges par les lois civiles et penales, ainsi que par les lois relatives au droit d'auteur, aux secrets de fabrication, aux marques commerciales, et aux brevets des Etats-Unis et des autres pays, ainsi que par des accords internationaux. Vous pouvez utiliser les marques commerciales uniquement a des fins d'identification des donnees de sortie creees a l'aide du Produit, et ce, conformement aux pratiques generalement acceptees relatives aux marques commerciales, dont l'identification du proprietaire de la marque commerciale. L'utilisation de toute marque de commerce ne vous confere aucun droit de propriete sur ladite marque de commerce. Gaijin et/ou ses fournisseurs possedent et conservent tous les droits, titres et interets associes au Produit, notamment (sans limitation) toute correction d'erreur, toute amelioration, ou toute modification du Logiciel, qu'ils soient produits par Gaijin ou par toute autre partie, ainsi que tout droit d'auteur, brevet, secret de fabrication, marque de commerce et autre droit relatif a la propriete intellectuelle du Produit. La possession, l'installation ou l'utilisation du Produit ne vous confere aucun droit de propriete intellectuelle sur ledit Produit ; en outre, vous ne recevrez aucun autre droit relatif au Produit, a l'exception de ceux expressement mentionnes dans cet Accord. Tous les exemplaires du Produit auquel la presente fait reference doivent contenir les memes mentions de propriete qui apparaissent sur et au sein du Produit. Exception faite de ce qui est precise dans la presente, cet Accord ne vous confere aucun droit de propriete intellectuelle sur ce Produit ; en outre, vous acceptez que la licence, qui vous est accordee conformement aux conditions de cet Accord, ne vous confere qu'un droit limite d'utilisation dans le cadre des conditions stipulees dans cet Accord. Gaijin se reserve tous les droits non expressement accordes a vous dans cet Accord."
"eula1_text_5"	"|1.2. Code source. Vous reconnaissez que le code source de ce Produit est la propriete de Gaijin ou de ses fournisseurs et/ou bailleurs de licence, et qu'il constitue des secrets de fabrication appartenant a Gaijin ou a ses fournisseurs et/ou bailleurs de licence. Vous acceptez de ne pas modifier, adapter, traduire, effectuer des travaux de retro-ingenierie, decompiler, desassembler, ni tenter de decouvrir le code source du Produit, et ce, de quelque maniere que ce soit.||1.3. Informations confidentielles. Vous acceptez que sauf indication contraire stipulee par les conditions de cet Accord, le Produit (y compris la conception et la structure des programmes individuels inclus au sein du Produit) represente des informations confidentielles appartenant a Gaijin et a ses fournisseurs et/ou bailleurs de licence. Vous acceptez de ne pas transferer, copier, devoiler, fournir, ni rendre accessibles ces informations confidentielles par tout autre moyen a aucune tierce partie. Vous acceptez de mettre en œuvre toute mesure de securite raisonnable pour proteger les informations confidentielles fournies ; toutefois, vous avez le droit de creer et de distribuer, de maniere illimitee, des copies du Produit sous la forme de code objet uniquement, a la condition que chaque copie que vous produisez et distribuez contienne cet Accord et l'exigence d'accepter les conditions avant toute premiere utilisation du programme, ainsi que toutes les informations relatives a la propriete du Produit. Si vous avez telecharge le logiciel sur Internet ou aupres de toute autre source en ligne, vos copies (distribuees en ligne ou sur supports, quels qu'ils soient) doivent inclure toutes les informations relatives aux droits de propriete contenus au sein du logiciel."
"eula1_text_6"	"|1.4. Interdiction d'apporter des modifications. Vous acceptez de ne pas alterer ni modifier le Produit, et ce, quelles que soient les circonstances. Vous n'avez pas le droit de retirer ou d'alterer les notifications de droits d'auteur ni toute autre notification de propriete, et ce, sur toutes les copies du Produit.||1.5. Fichiers journal et de sauvegarde. Les plantages, fichiers journaux du jeu, chaines de registre, pistes rejouees, donnees de sauvegarde, captures d'ecran et autres informations generees par le jeu peuvent contenir des informations confidentielles et privees de l'utilisateur : adresse email (identifiant), liste des processus lances, noms d'utilisateur et identifiant OS, informations sur les fichiers et le materiel de l'utilisateur, adresses IP et autres. L'utilisateur doit prendre soin de ces donnees et ne pas les partager avec quiconque ; s'il le fait, c'est a ses propres risques.||1.6. Utilisations interdites. Vous reconnaissez que vous n'avez pas le droit :||a). De participer a tout acte que Gaijin considere, a sa seule et entiere discretion, comme etant en contradiction avec les principes ou l'application prevue du projet ou des services connexes, notamment (sans limitation) la presentation deformee ou la manipulation relative a cet Accord, aux regles du jeu, au mecanisme du jeu ou a la politique du jeu ;|b). D'utiliser le Produit d'une matiere autre que l'usage pour lequel il est prevu ;|c). D'utiliser le logiciel d'une maniere qui enfreint volontairement ou involontairement les lois ou reglements applicables, ou d'encourager la violation des lois ou des reglements applicables ;|d). D'utiliser des codes, des defauts, des logiciels automatises, des bots, des techniques de piratage, des mods ou tout logiciel de tiers concu pour modifier ou entraver le bon fonctionnement du Produit ou toute experience videoludique de Gaijin ;|e). De detruire, de surcharger, d'aider ou de participer a la destruction ou a la surcharge de (1) tout ordinateur ou serveur utilise pour assurer le fonctionnement du Produit, du Jeu et des services connexes, du site Gaijin ou de tout environnement videoludique de Gaijin (chacun etant evoque dans la presente, sous la forme « serveur ») ou (2) l'utilisation du Produit par toute autre personne."
"eula1_text_7"	"|f). D'organiser toute forme d'attaque, ou d'aider ou de participer a l'organisation de toute forme d'attaque, notamment (sans limitation), la distribution de virus, des attaques de type DoS (Denial of Service) visant a entrainer une panne du Produit ou de l'environnement du jeu, ou toute autre tentative visant a perturber le service ; ou|g). D'utiliser le Produit pour publier des informations injurieuses, menacantes, obscenes, diffamatoires, calomnieuses, racistes, sexistes ou denigrant les croyances religieuses, reprehensibles ou insultantes ;|h). D'utiliser le Produit pour publier des informations qui contiennent de la nudite, de la violence excessive ou du contenu insultant ou incluant un lien menant a ce type de contenu ;|i). De rendre accessible, via le Service, tout contenu ou toute information susceptible d'enfreindre tout droit d'auteur, toute marque de commerce, tout brevet, tout secret de fabrication, tout droit relatif a la vie privee et a la publicite, ou tout autre droit de quelque personne ou entite que ce soit, ou qui permet d'usurper l'identite de toute autre personne, notamment (sans limitation), un employe de Gaijin ;|j). D'utiliser le Produit en tout ou partie a des fins commerciales, notamment (sans limitation) (1) communiquer ou faciliter toute sollicitation ou publicite commerciale, ou (2) reunir ou transferer des elements virtuels pour les vendre ;|k). D'utiliser le Produit en tout ou partie pour effectuer des services au sein du jeu, tels que le « leveling » (aider un joueur a monter rapidement en niveau), le « crew leveling », la collecte d'objets, realiser des missions, et participer a des combats contre des paiements a l'exterieur du Service.|l). D'utiliser le Produit pour transmettre des communications non autorisees, notamment (sans limitation), des imprimes publicitaires, des lettres a la chaine, du pourriel ou tout autre contenu faisant la promotion de programmes malveillants, de logiciels espions et d'elements telechargeables ; et|m). D'utiliser, de faciliter, de creer ou d'entretenir toute connexion non autorisee au Produit, notamment (sans limitation) (1) toute connexion a un serveur non autorise qui imite ou essaye d'imiter le Produit en tout ou partie, ou (2) toute connexion par l'intermediaire d'un programme, d'un outil ou d'un logiciel que Gaijin n'a pas approuve ;|n). De creer ou changer les surnoms pour leur donner les noms de terroristes, dirigeants nazis, ou criminels de guerre nazis."
"eula1_text_8"	"|2. Octroi de licence limitee||2.1. Licence. Gaijin vous concede la licence limitee non exclusive et non transferable pour stocker, charger, installer, executer et afficher (pour « Utiliser ») la version specifiee du Logiciel sur un nombre specifie d'ordinateurs ou autres appareils electroniques pour lesquels le logiciel a ete concu (chaque « peripherique client ») conformement aux conditions specifiees sur la facture ou l'emballage applicables du Produit (« Licence ») et par les presentes vous acceptez cette Licence comme suit : Licence personnelle. Vous pouvez utiliser le Produit dans le cadre de la Licence personnelle, conformement a l'Accord, a la Politique de confidentialite et aux Conditions d'utilisation. Vous avez le droit d'utiliser un (1) exemplaire de cette version du Produit a des fins personnelles uniquement, et ce, sur un seul et unique peripherique client. Dans le cadre de cet Accord, l' « utilisation personnelle » represente un usage prive non commercial et exclut toute activite commerciale, notamment (sans limitation) : marketing publicitaire et contenus/services promotionnels au nom du client, de l'employeur ou de l'employe, ou dans votre propre interet, ainsi que tout produit distribue ou non par voie commerciale a des fins financieres, tout document ou service en vente couverts par tout type de frais ou de paiements.||2.2. Produit multi supports ; Produit multi langues ; Produit multi peripheriques ; Multiples exemplaires ; Lots. Si vous utilisez differentes versions du Produit ou des versions du Produit dont la langue differe, ou si vous obtenez le Produit sur plusieurs supports, ou si vous recevez plusieurs exemplaires du Produit, ou si vous avez recu le Produit avec un ou plusieurs autres logiciels, le nombre maximum de peripheriques clients sur lesquels toutes les versions du Produit peuvent etre installees sera egal au nombre de licences obtenues aupres de Gaijin ; sauf indication contraire expressement stipulee par les conditions de licence, chaque licence achetee vous donne le droit d'installer et d'utiliser le Produit sur 1 (un) peripherique client. Sauf disposition contraire dans cet Accord, vous ne devez pas louer, regrouper avec d'autres produits ou materiaux, ceder, conceder une sous-licence, preter, ni transferer toute version ou tout exemplaire du Produit que vous l'utilisiez ou non sans la permission ecrite de Gaijin."
