"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"CarPart_AviaBox2x1x2_Name"	"Панель авиа малая"
"CarPart_AviaBox2x1x4_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox2x1x4_Name"	"Панель авиа большая"
"CarPart_AviaBox4x1x2_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox4x1x2_Name"	"Панель авиа"
"CarPart_AviaBox4x1x4_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox4x1x4_Name"	"Панель авиа большая"
"CarPart_AviaBoxSlopeCorner4x1x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaBoxSlopeCorner4x1x2_Name"	"Уголок авиа"
"CarPart_AviaRadial2x2x1_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x1_Name"	"Скос покатый узкий"
"CarPart_AviaRadial2x2x2_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x2_Name"	"Скос покатый"
"CarPart_AviaRadial2x2x4_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x4_Name"	"Скос покатый широкий"
"CarPart_AviaRadialCorner2x2x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaRadialCorner2x2x2_Name"	"Уголок покатый"
"CarPart_AviaRadialFender2x2x2_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadialFender2x2x2_Name"	"Нос самолета"
"CarPart_AviaRadialSlope4x2x4_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadialSlope4x2x4_Name"	"Скос авиа двойной"
"CarPart_AviaSlope2x1x1_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x1_Name"	"Скос авиа узкий"
"CarPart_AviaSlope2x1x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x2_Name"	"Скос авиа"
"CarPart_AviaSlope2x1x4_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x4_Name"	"Скос авиа широкий"
"CarPart_AviaWing4x1x2_Desc"	"Обрезок передней части крыла самолета."
"CarPart_AviaWing4x1x2_Name"	"Уголок из крыла мини"
"CarPart_AviaWing4x1x3_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaWing4x1x3_Name"	"Уголок из крыла"
"CarPart_AviaWing8x1x3_Desc"	"Передняя часть основания крыла."
"CarPart_AviaWing8x1x3_Name"	"Крыло узкое"
"CarPart_AviaWing8x1x4_Desc"	"Задняя часть основания крыла."
"CarPart_AviaWing8x1x4_Name"	"Основание крыла"
"CarPart_Avia_fender_l_desc"	"Металлический борт летательного аппарата."
"CarPart_Avia_fender_l_name"	"Авиа борт левый"
"CarPart_Avia_fender_r_desc"	"Металлический борт летательного аппарата."
"CarPart_Avia_fender_r_name"	"Авиа борт правый"
"CarPart_Avia_lafet_desc"	"Каркасный лафет для установки орудий. Простреливается насквозь."
"CarPart_Avia_lafet_name"	"Лафет"
"CarPart_BoxFrame2x1_desc"	"Деталь из металлических труб."
"CarPart_BoxFrame2x1_name"	"Ящик из трубок малый"
"CarPart_BoxFrame2x2_desc"	"Деталь из металлических труб."
"CarPart_BoxFrame2x2_name"	"Ящик из трубок средний"
"CarPart_BoxSolid2x1_desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid2x1_name"	"Ящик малый"
"CarPart_BoxSolid2x2_desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid2x2_name"	"Ящик средний"
"CarPart_BoxSolid4x4_rare_Desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid4x4_rare_Name"	"Ящик большой"
"CarPart_Buggy_bumper_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_bumper_name"	"Бампер багги"
"CarPart_Buggy_fender_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_fender_name"	"Борт багги левый"
"CarPart_Buggy_fender_r_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_fender_r_name"	"Борт багги правый"
"CarPart_Buggy_Grid10_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid10_Name"	"Решетка"
"CarPart_Buggy_Grid11_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid11_Name"	"Решетка Багги 10"
"CarPart_Buggy_Grid1_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid1_Name"	"Решетка Багги 1"
"CarPart_Buggy_Grid2_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid2_Name"	"Решетка Багги 2"
"CarPart_Buggy_Grid3_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid3_Name"	"Решетка Багги 3"
"CarPart_Buggy_Grid4_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid4_Name"	"Решетка Багги 4"
"CarPart_Buggy_Grid5_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid5_Name"	"Решетка Багги 5"
"CarPart_Buggy_Grid6_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid6_Name"	"Решетка Багги 6"
"CarPart_Buggy_Grid7_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid7_Name"	"Решетка Багги 7"
"CarPart_Buggy_Grid8_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid8_Name"	"Решетка Багги 8"
"CarPart_Buggy_Grid9_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid9_Name"	"Решетка Багги 9"
"CarPart_BumperSpikeMini_long_Desc"	"Планка с шипами."
"CarPart_BumperSpikeMini_long_Name"	"Планка с шипами"
"CarPart_Engine_avia_front_desc"	"Массивный пламенный мотор вашего железного коня.||На машину можно установить только один двигатель."
"CarPart_Engine_avia_front_name"	"Авиамотор"
"CarPart_FenderSolid_China_Desc"	"Модифицированная деталь конструкции."
"CarPart_FenderSolid_China_Name"	"Крыло CX"
"CarPart_FenderSolid_desc"	"Металлическая деталь конструкции."
"CarPart_FenderSolid_name"	"Крыло"
"CarPart_FenderSolid_Starter_desc"	"Видавшее жизнь крыло, стоит его заменить."
"CarPart_FenderSolid_Starter_name"	"Крыло стартовое"
"CarPart_Footstep_Desc"	"Удобный элемент конструкции, который также может быть использован по назначению."
"CarPart_Footstep_Name"	"Подножка"
"CarPart_Grid_1_Desc"	"Различные самодельные трубчатые конструкции. Простреливаются насквозь."
"CarPart_Grid_1_Name"	"Решетка 1"
"CarPart_Grid_2_Desc"	"Различные самодельные трубчатые конструкции. Простреливаются насквозь."
"CarPart_Grid_2_Name"	"Решетка 2"
"CarPart_Grid_3_Desc"	"Различные самодельные трубчатые конструкции. Простреливаются насквозь."
"CarPart_Grid_3_Name"	"Решетка 3"
"CarPart_Grid_4_Desc"	"Различные самодельные трубчатые конструкции. Простреливаются насквозь."
"CarPart_Grid_4_Name"	"Решетка 4"
"CarPart_HolderArc_rare_Desc"	"Куски швеллера, сваренные в удобную для строительства форму."
"CarPart_HolderArc_rare_Name"	"Полуарка"
"CarPart_Holder_2x2_Desc"	"Куски швеллера, сваренные в удобную для строительства форму."
"CarPart_Holder_2x2_Name"	"Уголок малый"
"CarPart_Holder_2x4_Reverse_Desc"	"Куски швеллера, сваренные в удобную для строительства форму."
"CarPart_Holder_2x4_Reverse_Name"	"Уголок двойной"
"CarPart_Holder_4x2_Desc"	"Куски швеллера, сваренные в удобную для строительства форму."
"CarPart_Holder_4x2_Name"	"Уголок широкий"
"CarPart_Holder_4x3_rare_Desc"	"Куски швеллера, сваренные в удобную для строительства форму."
"CarPart_Holder_4x3_rare_Name"	"Уголок средний"
"CarPart_JunkBumper_Desc"	"Мощный бампер, идеально подходящий для тяжелой техники. "
"CarPart_JunkBumper_Name"	"Кенгурятище"
"CarPart_MilitaryArmorPlate1_Desc"	"Деталь от броневика"
"CarPart_MilitaryArmorPlate1_Name"	"Борт бронированный"
"CarPart_MilitaryArmorPlate2_Desc"	"Деталь от броневика"
"CarPart_MilitaryArmorPlate2_Name"	"Скос бронированный"
"CarPart_MilitaryArmorPlate3_Desc"	"Деталь от броневика"
"CarPart_MilitaryArmorPlate3_Name"	"Острие бронированное"
"CarPart_MilitaryFender_Desc"	"Деталь от броневика"
"CarPart_MilitaryFender_Name"	"Крыло военное"
"CarPart_Military_box_1x2x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_box_1x2x8_name"	"Панель броневика 2"
"CarPart_Military_box_4x1x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_box_4x1x8_name"	"Панель броневика 1"
"CarPart_Military_box_slope_2x1x4_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_box_slope_2x1x4_name"	"Бронированный скос"
"CarPart_Military_box_slope_2x1x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_box_slope_2x1x8_name"	"Усиленный скос"
"CarPart_Military_box_slope_4x1x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_box_slope_4x1x8_name"	"Бронепластина 1"
"CarPart_Military_door_slope_4x1x4_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_door_slope_4x1x4_name"	"Бронепластина 2"
"CarPart_Military_door_slope_4x1x6_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_door_slope_4x1x6_name"	"Бронепластина 1"
"CarPart_Military_slope_2x1x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_slope_2x1x8_name"	"Бронепластина 3"
"CarPart_Military_slope_3ple_1x1x8_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_slope_3ple_1x1x8_name"	"Бронированный скос тройной"
"CarPart_Military_slope_dble_2x1x2_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_slope_dble_2x1x2_name"	"Усиленный скос двойной"
"CarPart_Military_slope_dble_2x1x4_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_slope_dble_2x1x4_name"	"Усиленный скос с решеткой"
"CarPart_Military_slope_thin_1x1x4_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_slope_thin_1x1x4_name"	"Тонкая бронепластина"
"CarPart_Military_tower_slope_4x3x2_desc"	"Хорошо защищенный отсек военного транспортного средства."
"CarPart_Military_tower_slope_4x3x2_name"	"Бронеотсек"
"CarPart_Military_tower_slope_6x1x6_desc"	"Тяжелый и прочный элемент конструкции военных, отпиленный от брошенной бронетехники."
"CarPart_Military_tower_slope_6x1x6_name"	"Орудийная башня"
"CarPart_Muscle_back_Desc"	"Когда важна только скорость и мощь."
"CarPart_Muscle_back_Name"	"Задний бампер Торино"
"CarPart_Muscle_cap_Desc"	"Когда важна только скорость и мощь."
"CarPart_Muscle_cap_Name"	"Кожух Торино"
"CarPart_Muscle_fender_Desc"	"Когда важна только скорость и мощь."
"CarPart_Muscle_fender_Name"	"Крыло Торино"
"CarPart_Muscle_front_Desc"	"Когда важна только скорость и мощь."
"CarPart_Muscle_front_Name"	"Передний бампер Торино"
"CarPart_SlopeFrame2x1_rare_desc"	"Деталь из металлических труб."
"CarPart_SlopeFrame2x1_rare_name"	"Скос из трубок малый"
"CarPart_SlopeFrame2x2_rare_desc"	"Деталь из металлических труб."
"CarPart_SlopeFrame2x2_rare_name"	"Скос из трубок"
"CarPart_SlopeSolid2x1_rare_desc"	"Металлическая деталь конструкции."
"CarPart_SlopeSolid2x1_rare_name"	"Скошенный ящик малый"
"CarPart_SlopeSolid2x2_rare_desc"	"Металлическая деталь конструкции."
"CarPart_SlopeSolid2x2_rare_name"	"Скошенный ящик"
"CarPart_SpearExplosive_Desc"	"Наносит повреждения цели при контакте."
"CarPart_SpearExplosive_Name"	"Копье взрывное"
"CarPart_Spoiler_China_Desc"	"Модифицированное антикрыло."
"CarPart_Spoiler_China_Name"	"Спойлер CX"
"CarPart_TruckBarrelHalf_Desc"	"Две четвертинки 200-литровой бочки, сваренные вместе и укрепленные каркасом."
"CarPart_TruckBarrelHalf_Name"	"Половина бочки"
"CarPart_TruckBarrel_Desc"	"Четверть каркаса 200-литровой бочки."
"CarPart_TruckBarrel_Name"	"Четверть бочки"
"CarPart_TruckBox_Desc"	"Полая конструкция, сваренная из деталей мусорного контейнера."
"CarPart_TruckBox_Name"	"Ящик металлический"
"CarPart_TruckDoor_Desc"	"Дверь грузового контейнера."
"CarPart_TruckDoor_Name"	"Дверь контейнера"
"CarPart_TruckPipe1x2x1_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipe1x2x1_Name"	"Труба тройник"
"CarPart_TruckPipe1x2x2_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipe1x2x2_Name"	"Труба изогнутая"
"CarPart_TruckPipe4x1x1_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipe4x1x1_Name"	"Труба прямая"
"CarPart_TruckPipeBig2x4_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipeBig2x4_Name"	"Щит из труб"
"CarPart_TruckPipeBig2x6_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipeBig2x6_Name"	"Щит длинный из труб"
"CarPart_TruckPipeBigSlope2x4_Desc"	"Кусок металлической канализационной трубы."
"CarPart_TruckPipeBigSlope2x4_Name"	"Скос из труб"
"CarPart_TruckSide2_Desc"	"Часть грузового контейнера."
"CarPart_TruckSide2_Name"	"Полустенка"
"CarPart_TruckSide4_Desc"	"Часть грузового контейнера."
"CarPart_TruckSide4_Name"	"Стенка контейнера"
"CarPart_TruckSideSquare_Desc"	"Срез боковой стороны мусорного контейнера."
"CarPart_TruckSideSquare_Name"	"Борт мусоровоза"
"CarPart_TruckSide_Desc"	"Часть грузового контейнера."
"CarPart_TruckSide_Name"	"Четверть стенки"
"CarPart_TruckSlope2_Desc"	"Сдвоенный срез нижней части мусорного контейнера."
"CarPart_TruckSlope2_Name"	"Скос широкий"
"CarPart_TruckSlope4_Desc"	"Большой уголок, сваренный из контейнера."
"CarPart_TruckSlope4_Name"	"Скос массивный"
"CarPart_TruckSlopeReverse_Desc"	"Большой уголок, сваренный из контейнера."
"CarPart_TruckSlopeReverse_Name"	"Двойной скос"
"CarPart_TruckSlope_Desc"	"Срез нижней части мусорного контейнера."
"CarPart_TruckSlope_Fender_Desc"	"Крыло, сваренное из деталей контейнера."
"CarPart_TruckSlope_Fender_Name"	"Крыло массивное"
"CarPart_TruckSlope_Name"	"Скос мусоровоза"
"CarPart_VanBack_China_Desc"	"Модифицированная деталь фургона."
"CarPart_VanBack_China_Name"	"Задняя дверь CX"
"CarPart_VanBack_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanBack_epic_Name"	"Задняя дверь"
"CarPart_VanBodySide_China_Desc"	"Модифицированная деталь фургона."
"CarPart_VanBodySide_China_Name"	"Борт минивэна CX"
"CarPart_VanBodySide_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanBodySide_epic_Name"	"Борт минивэна"
"CarPart_VanBumper_Desc"	"Защитный бампер. Наносит повышенные повреждения при столкновении."
"CarPart_VanBumper_Name"	"Бампер Внедорожника"
"CarPart_VanDoor_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanDoor_epic_Name"	"Дверь фургона"
"CarPart_VanRoofTent_China_Desc"	"Модифицированная версия тентового кузова."
"CarPart_VanRoofTent_China_Name"	"Крыша CX"
"CarPart_VanRoofTent_epic_Desc"	"Часть крыши тентового кузова."
"CarPart_VanRoofTent_epic_Name"	"Крыша брезент"
"CarPart_VanRoof_epic_Desc"	"Пластмассовый обтекатель крыши, укрепленный металлическим каркасом."
"CarPart_VanRoof_epic_Name"	"Обтекатель"
"CarPart_VanSideTent_epic_Desc"	"Боковина тентового кузова грузовой машины."
"CarPart_VanSideTent_epic_Name"	"Борт брезент"
"CarPart_VanSide_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanSide_epic_Name"	"Борт фургона"
"CarPart_VanTopEdge_epic_Desc"	"Обрезок крыши, отпиленный от фургона."
"CarPart_VanTopEdge_epic_Name"	"Край фургона"
"CarPart_VanTop_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanTop_epic_Name"	"Крыша фургона"
"CarPart_VanWindow_China_Desc"	"Модифицированная деталь фургона."
"CarPart_VanWindow_China_Name"	"Окно фургона CX"
"CarPart_VanWindow_epic_Desc"	"Деталь, отпиленная от фургона."
"CarPart_VanWindow_epic_Name"	"Окно фургона"
"PARTTYPE_10_frenzied_armor"	"Деталь Багги"
"PARTTYPE_20_mechanics_van"	"Деталь Фургона"
"PARTTYPE_30_vagabonds_avia"	"Деталь Самолета"
"PARTTYPE_35_35_ActiveModule_WheelDrone"	"Колесный дрон"
"PARTTYPE_35_vagabonds_hotrod"	"Деталь Хотрода"
"PARTTYPE_40_scavengers_truck"	"Обрезки контейнеров"
"PARTTYPE_45_scavengers_pipes"	"Бочки и уголки"
"PARTTYPE_48_military_apc"	"Деталь БТР"
"PARTTYPE_50_10_StructureFrame"	"Деталь каркаса"
"PARTTYPE_50_15_frenzied_armor"	"Деталь багги"
"PARTTYPE_50_20_mechanics_van"	"Деталь фургона"
"PARTTYPE_50_20_StructureSolid"	"Деталь конструкции"
"PARTTYPE_50_23_mechanics_angle"	"Уголки"
"PARTTYPE_50_25_mechanics_muscle"	"Деталь Торино"
"PARTTYPE_50_30_Finisher"	"Деталь обшивки"
"PARTTYPE_50_30_vagabonds_avia"	"Деталь самолета"
"PARTTYPE_50_35_vagabonds_hotrod"	"Деталь Хот-рода"
"PARTTYPE_50_40_MeleeBumper"	"Бампер"
"PARTTYPE_50_40_scavengers_truck"	"Обрезки контейнеров"
"PARTTYPE_50_45_scavengers_pipes"	"Трубы"
"PARTTYPE_50_48_military_apc"	"Деталь БТР"
"PARTTYPE_50_80_MeleeBumper"	"Бампер"
"PARTTYPE_50_82_MeleePassive"	"Пассив. контактное орудие"
"PARTTYPE_60_generic_armor"	"Бронелисты"
"PARTTYPE_70_unavailable"	"Нет в игре"
"MAP_DESC_FRENZIED_ROAD_01"	"Дорога в дюнах"
"MAP_DESC_FRENZIED_ROAD_02"	"Дорога в дюнах"
"MAP_DESC_FRENZIED_ROAD_03"	"Дорога в дюнах"
"MAP_DESC_FRENZIED_ROAD_04"	"Дорога в дюнах"
"MAP_DESC_MINERS_WAY"	"Рудники в пустыне"
"MAP_DESC_SCAVENGERS_ROAD_01"	"Просто дорога"
"MAP_DESC_SCAVENGERS_ROAD_02"	"Просто дорога"
"MAP_DESC_SCAVENGERS_ROAD_03"	"Просто дорога"
"MAP_DESC_SCAVENGERS_ROAD_04"	"Просто дорога"
"MAP_DESC_VAGABONDS_ROAD_01"	"Путь через устоши"
"MAP_DESC_VAGABONDS_ROAD_02"	"Путь через устоши"
"MAP_DESC_VAGABONDS_ROAD_03"	"Путь через устоши"
"MAP_DESC_VAGABONDS_ROAD_04"	"Путь через устоши"
"MAP_TITLE_FRENZIED_ROAD_01"	"Дорога в дюнах"
"MAP_TITLE_FRENZIED_ROAD_02"	"Дорога в дюнах"
"MAP_TITLE_FRENZIED_ROAD_03"	"Дорога в дюнах"
"MAP_TITLE_FRENZIED_ROAD_04"	"Дорога в дюнах"
"MAP_TITLE_MINERS_WAY"	"Чертовы рудники"
"MAP_TITLE_SCAVENGERS_ROAD_01"	"Просто дорога"
"MAP_TITLE_SCAVENGERS_ROAD_02"	"Просто дорога"
"MAP_TITLE_SCAVENGERS_ROAD_03"	"Просто дорога"
"MAP_TITLE_SCAVENGERS_ROAD_04"	"Просто дорога"
"MAP_TITLE_VAGABONDS_ROAD_01"	"Путь через устоши"
"MAP_TITLE_VAGABONDS_ROAD_02"	"Путь через устоши"
"MAP_TITLE_VAGABONDS_ROAD_03"	"Путь через устоши"
"MAP_TITLE_VAGABONDS_ROAD_04"	"Путь через устоши"
"TownTravel_Frenzied_Easy_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Frenzied_Easy_Title"	"Путешествие в другой город"
"TownTravel_Frenzied_Hard_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Frenzied_Hard_Title"	"Путешествие в другой город"
"TownTravel_Frenzied_Medium_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Frenzied_Medium_Title"	"Путешествие в другой город"
"TownTravel_Scavengers_Easy_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Scavengers_Easy_Title"	"Путешествие в другой город"
"TownTravel_Scavengers_Hard_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Scavengers_Hard_Title"	"Путешествие в другой город"
"TownTravel_Scavengers_Medium_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Scavengers_Medium_Title"	"Путешествие в другой город"
"TownTravel_Vagabonds_Easy_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Vagabonds_Easy_Title"	"Путешествие в другой город"
"TownTravel_Vagabonds_Hard_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Vagabonds_Hard_Title"	"Путешествие в другой город"
"TownTravel_Vagabonds_Medium_Desc"	"Путешествие через пустоши - опасное мероприятие. Но это единственнная возможность найти новые рынки сбыта и источники ресурсов.|Если погибнуть в пути, все детали и груз будут разрушены, но вам вернется часть ресурсов, потраченных на их производство."
"TownTravel_Vagabonds_Medium_Title"	"Путешествие в другой город"
"craft_info_1"	"Если честно, меня немного пугает, как быстро ты завоевываешь доверие Механиков. Может, ты был политиком в старом мире? Все перемешалось: кто был ничем, тот стал всем, хе-хе. Не больно-то ты разговорчив, я погляжу."
"craft_info_2"	"Механики — это не только задания, награды и разговоры у костра. Еще мы позволяем тебе создавать на наших станках новые детали из металлолома. Если не можешь найти в бою нужную деталь, почему бы не сделать ее самому?"
"craft_rare_info_1"	"Ресурсов становится все меньше, так что приходится отправляться во все более опасные районы пустошей, и враги становятся все сильнее. |Ты наверняка уже встречал противников с редкими пушками и знаешь, как они могут быть опасны. "
"craft_rare_info_2"	"К счастью, теперь и ты можешь создавать на наших станках что-то пострашнее обычного пулемета. Но только желающих много, а станков мало... Короче, придется тебе платить за аренду. Не дрейфь, продашь что-нибудь ненужное на рынке и живо выйдешь в плюс."
"daily_quest_info_1"	"Мы, Механики, добрые ребята и никогда не бросаем своих. Делай свое дело хорошо, и будешь вознагражден. Ты заметил, что каждый день мы даем несложные испытания для своих и подкидываем металлолом тем, кто их выполняет?"
"disassemble_info_1"	"Ты неплохо справляешься, Странник. Ты провел несколько боев и у тебя на складе достаточно деталей. Пора научиться кое-чему новенькому. Ненужные детали можно разбирать на металлолом. Круто, да?"
"disassemble_info_2"	"Иногда это полезнее, чем забивать склад хламом. Просто выбери деталь и разбери ее... Наверное, тебе еще рано об этом знать, но... Излишки также можно продать на черном рынке. Или подкупить кое-чего... "
"HINT_TEXT_BLUEPRINT_OPEN"	"Нажмите на кнопку «Чертежи»."
"HINT_TEXT_BLUEPRINT_SAVE"	"Здесь можно сохранять и загружать чертежи. Нажмите на ячейку, чтобы сохранить чертеж."
"HINT_TEXT_BLUEPRINT_TO_FACTION_TAB"	"Во вкладке «фракционные» будут появляться различные чертежи, выдающиеся за репутацию фракций."
"HINT_TEXT_BLUEPRINT_TO_USER_TAB"	"Перейдите во вкладку «сохраненные»."
"HINT_TEXT_CAREDITOR_SAVE_BLUEPRINT"	"Сохраненные и фракционные чертежи можно собрать в любой момент в списке чертежей."
"HINT_TEXT_FACTION_ACCEPT_FACTION"	"Вступите во фракцию. Вы можете сменить выбранную фракцию в любой момент."
"HINT_TEXT_FACTION_CHOOSE_FACTION"	"Выберите фракцию, в которую хотите вступить."
"HINT_TEXT_FACTION_TO_FACTION"	"Зайдите в раздел «Фракции» и выберите, на кого вы будете работать."
"HINT_TEXT_HUD_TUTORIAL_CAMERA_MOUSE_ROTATE"	"Используйте мышь для управления камерой. Наведите прицел на маркер на экране."
"HINT_TEXT_HUD_TUTORIAL_CAMERA_ROTATE"	"Используйте правый стик, чтобы сменить позицию камеры. Наведите прицел на маркер."
"HINT_TEXT_HUD_TUTORIAL_CAMERA_ROTATE_PS4"	"Используйте правый джойстик, чтобы сменить позицию камеры. Наведите прицел на маркер."
"HINT_TEXT_HUD_TUTORIAL_CAMERA_ROTATE_XBONE"	"Используйте правый мини-джойстик, чтобы сменить позицию камеры. Наведите прицел на маркер."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_BINDS"	"Нажмите @ffff9900[$forward$]@ffffffff для движения вперед, @ffff9900[$backward$]@ffffffff для заднего хода. Для изменения курса машины используйте @ffff9900[$turnLeft$]@ffffffff и @ffff9900[$turnRight$]@ffffffff. Следуйте по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_R2"	"Нажмите @ffff9900[$key$]@ffffffff, чтобы начать движение, для движения назад @ffff9900[$texture name Key_xinput_lt ignoreFontSize$]@ffffffff. Для смены направления используйте левый стик. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_R2_PS4"	"Нажмите @ffff9900[$key$]@ffffffff, чтобы начать движение, для движения назад $texture name Key_psinput_l2 ignoreFontSize$. Для смены направления используйте левый джойстик. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_R2_XBONE"	"Нажмите @ffff9900[$key$]@ffffffff, чтобы начать движение, для движения назад $texture name Key_xinput_lt ignoreFontSize$. Для смены направления используйте левый мини-джойстик. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_STICK"	"Наклоните левый стик вперед, чтобы начать движение. Для смены направления используйте левый стик. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_STICK_PS4"	"Используйте левый джойстик для движения в любом направлении. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_CAR_MOVE_STICK_XBONE"	"Наклоните левый мини-джойстик вперед, чтобы начать движение. Для смены направления используйте левый мини-джойстик. Двигайтесь по маркерам."
