"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"SEASON_QUEST_PROGRESS_DESC"	"ความคืบหน้า: $curValue$ / $maxValue$"
"SEASON_QUEST_RARITY_DESC"	"ระดับ '$rarity$' หรือสูงกว่า"
"SETTING_colRemap"	"แก้ไขสี"
"SETTING_on"	"เปิด"
"ShopItem_DMM_currency"	"DP"
"ShopPremium_premium_debr_info"	"Scanner||Scanner จะช่วยให้คุณได้ทำภารกิจพิเศษที่ถูกซ่อนอยู่และจะได้รับชื่อเสียงมากกว่าปกติ"
"ShopPremium_premium_desc"	"|- ได้รับชื่อเสียงเพิ่มขึ้น 50%|- ทำความท้าทายประจำวันได้ รางวัล 40 Cash|- ขยายความจุของทรัพยากร 50%"
"ShopPremium_premium_hangar_info"	"Scanner||Scanner จะช่วยให้คุณได้ทำภารกิจพิเศษที่ถูกซ่อนอยู่และจะได้รับชื่อเสียงมากกว่าปกติ||คลิ๊กเพื่อไปที่ร้านค้า"
"ShopPremium_premium_item"	" "
"ShopWnd_consoles_disabled_text"	"ร้านค้าไม่สามารถใช้ได้ในช่วง Beta-Weekend"
"ShopWnd_consoles_text"	"เก็บห่อบรรจุภัณฑ์ตอนนี้เลย!|รถ, สีกระป๋องและภาพตัวละคร"
"ShopWnd_Event"	"Cash พิเศษ"
"ShopWnd_New"	"ใหม่"
"ShopWnd_PW_bought"	"ซื้อ Cash: $val$"
"ShopWnd_PW_help"	"Blank"
"ShopWnd_PW_to_shop"	"ซื้อ Cash"
"ShopWnd_to_shop"	"ไปที่ร้านค้า"
"ShopWnd_to_shop_PS4"	"ไปที่ร้านค้า"
"ShopWnd_to_shop_XBONE"	"ไปที่ Xbox Store"
"SHOP_BuyGold_StarConflict"	"ซื้อ Galactic Standards จาก Star Conflict จะได้รับโบนัสเป็นแคชในเกม Crossout (0.15 coins ต่อ 1 Standard)."
"SHOP_BuyGold_StarConflict_Warning"	"คุณจะถูกส่งไปที่ร้านค้าที่คุณสามารถซื้อ|Galactic Standards for Star Conflict|สำหรับการซื้อแต่ละครั้งคุณจะได้รับแคชในเกม Crossout|0.15 แคช ต่อ 1 Galactic Standard"
"SHOP_BuyGold_WarThunder"	"ซื้อ WarThunder Golden Eagles จะได้รับแคชในเกม Crossout เพิ่ม (0.2 ต่อ 1 Eagle)"
"Shop_buy_item_confirm"	"คุณต้องการซื้อแพ็ค $bundle_name$ หรือไม่?"
"SHOP_ITEM_BUY_PREM_BTN"	"ซื้อ"
"SHOP_MAXGEARLEVEL"	"จำนวนจำกัดของไอเทมเพิ่มเป็น %d"
"Show_Bundle_Desc"	"- รถ Snappy"
"Show_Bundle_Name"	"Testing Participant Reward"
"Special_pack_Desc"	"แพ็คพิเศษสำหรับผู้ที่ต่อสู้เพื่อชื่อเสียงใน Wasteland ทุนเริ่มต้นจะช่วยให้คุณเช่าเครื่องมือคราฟจากคราฟแมนและซื้ออุปกรณ์ต่างๆจากคนอื่นๆในตลาด|ประกอบด้วย:||- Engineer Flag (เพิ่มอัตราชื่อเสียง 7 วัน)|- สี Lava|- 300 Cash"
"Special_pack_Name"	"Special pack"
"SPECTATOR_ALL_CLIENTS_DEAD"	"ผู้เล่นทั้งหมดถูกกำจัด การต่อสู้จะจบใน %0.1f วินาที"
"SPECTATOR_MSG"	"รถของคุณจะพร้อมต่อสู้ในรอบถัดไป"
"SPEED_TITLE"	"ความเร็วสูงสุด"
"Starter_pack_Desc"	"- รถ Fang|- อาวุธ MM5-4 Vector, LM-54 Chord|- อวาตาร์ Vicky|- สี Material, Twilight Metallic|- จำนวนไอเทมสูงสุดเพิ่มเป็น 55|- 650 Cash"
"Starter_pack_Name"	"'Snake Bite' pack"
"Starter_pack_thai_Desc"	"ไอเทมหลากหลายทั้งตัวถังและอาวุธเพื่อช่วยให้คุณสร้างยานเกราะตามที่คุณต้องการ|ขอบคุณที่เล่นถึงเลเวล 5!|ต่อไปมันจะน่าสนใจยิ่งกว่านี้!"
"Starter_pack_Vehicle_Desc"	"แม้ว่าพลังโจมตีและความทนทานจะไม่ได้สูงที่สุด แต่มันยังคงเป็นเหมือนมนต์แห่งโชคของ Vicky's หลังจากที่มันช่วยเธอแก้แค้นคนที่ฆาตกรรมพ่อของเธอได้สำเร็จ"
"Starter_pack_Vehicle_Name"	"Fang"
"Starter_pack_womoney_Desc"	"- รถหุ้มเกราะ Fang|- อาวุธ — MM5-4 Vector, LM-54 Chord|- อวาตาร์ฮีโร่ Vicky|- สเปรย์ Material, Twilight Metallic|- เพิ่มจำนวนไอเทมสูงสุดเป็น 55"
"STEAM_LOGIN_BUTTON"	"ลงชื่อเข้าใช้ด้วย Steam ID"
"StressTestEvent2017_1_desc"	"จบการต่อสู้ $val$ ใน Missions, Raids"
"StressTestEvent2017_1_name"	"High stress"
"StressTestEvent2017_2_desc"	"จบการต่อสู้ $val$ ใน Missions, Raids"
"StressTestEvent2017_2_name"	"High stress"
"StressTestEvent2017_3_desc"	"จบการต่อสู้ $val$ ใน Missions, Raids"
"StressTestEvent2017_3_name"	"High stress"
"TCWnd_title"	"เลือกรูปแบบการควบคุม"
"test_reward_Vehicle_Name"	"Snappy"
"TGS_Bundle_Desc"	"- ตัวถัง Thug|- อาวุธ LM-54 Chord x3"
"TGS_Bundle_Name"	"Crossout — Tokyo Game Show"
"TIME_TO_NEXT_GAME"	"นับถอยหลังสู่เกมถัดไป"
"tips_controls_camreset_desc"	"กด @ffff9900$key$@ffffffff เพื่อรีเซ็ตมุมกล้องเป็นค่ามาตรฐาน"
"tips_controls_carhorn_desc"	"กดปุ่ม @ffff9900$key$@ffffffff เพื่อใช้แตรที่ติดตั้งไว้"
"tips_empty_title"	" "
"tips_garage_basic_04_desc"	"ไอเทมต่างๆที่ได้รับมาหลังจบการต่อสู้ นอกจากเอามาใช้เอง ยังสามารถขายหรือนำไปทำลายเป็นเศษเหล็กได้"
"tips_misc_autobuild_1_desc"	"สามารถใช้งานปุ่ม สร้างรถอัตโนมัติได้ที่หน้าโรงรถ โดยจะเป็นการสุ่มแบบของรถออกมาหลายๆแบบ "
"tips_misc_premium_2_desc"	"การใช้งาน Scanners จะช่วยปลดล็อคความท้าทายพิเศษที่จะได้รางวัลเป็น Cash|Scanners มีขายที่ Item Shop เท่านั้น"
"tips_misc_quests_daily_desc"	"การบรรลุภารกิจรายวันเป็นทางที่ดีที่สุดในการสะสม Scrap Metal"
"tips_pvp_basic_03_desc"	"ฐานของศัตรูจะมีมาร์คเกอร์สีแดงเป็นตัวบอก แค่วิ่งเข้าไปในพื้นที่วงกลมก็เป็นการยึดฐานศัตรูแล้ว"
"TONNAGE_TITLE"	"น้ำหนักที่แบกรับได้"
"TOOLTIP_REASSIGN"	"เปลี่ยนปุ่มไกปืน"
"TowerDefense_2Wave_scavengers_text"	"หยุด อย่า ขยับ! ข้าไม่อยากระเบิดรถแกให้เป็นผุยผง! ถอยไปซะ!"
"TowerDefense_3Wave_scavengers_text"	"You'll rest when you're dead — the station isn't ours yet! Strike with full force. Ready to have some fun?"
"TowerDefense_Capture_nomads_text"	"รู้อยู่แล้วว่าป้อมปืน 4 ป้อมมันไม่พอ! ข้าจะรวมพรรคพวกและถล่มให้ย่อยยับ!"
"TowerDefense_Start_scavengers_text3"	"Your cars are full of guns!.. Ho-ho, guys, don't be strangers!"
"TO_BLUEPRINTS"	"แบบแปลน"
"traders_10lvl_vehicle_desc"	"เช่นเดียวกับ 'Pilgrim' มันหมายถึงใช้ต่อสู้ระยะไกล มีความทนทานสูงมากและติดตั้งโดรนโจมตีไว้ปกป้องตัวเองอีกด้วย"
"traders_10lvl_vehicle_name"	"Explorer"
"traders_13lvl_vehicle_desc"	"สำรวจการเดินทางด้วยยานหุ้มเกราะ เกี่ยวกับ Nomads พวกเขาชอบสำรวจบางอย่างลึกเข้าไปในดินแดนสุดแสนอันตรายหรือทำการค้าขายกับพวก Engineers"
"traders_13lvl_vehicle_name"	"Archeologist"
"traders_15lvl_vehicle_desc"	"เป็นสถานีเคลื่อนที่ของ Nomads สร้างขึ้นให้สามารถเอาชีวิตรอดได้เป็นระยะเวลานานและยังสะท้อนให้เห็นถึงสภาพที่ย่ำแย่ของสถานที่แห่งนี้"
"traders_15lvl_vehicle_name"	"Wanderer"
"traders_1lvl_vehicle_desc"	"รถสอดแนมที่เร็วที่สุดของ Nomads ที่สามารถยืนหยัดต่อสู้กับเหล่า 'Judge' และสามารถเข้าถึงเป้าหมายได้อย่างรวดเร็วและกลับมาพร้อมกับข้อมูลที่รวบรวมมาได้"
"traders_1lvl_vehicle_name"	"Pathfinder"
"traders_5lvl_vehicle_name"	"Nomad"
"traders_7lvl_vehicle_desc"	"รถต่อสู้ที่ติดตั้งปืนกลคู่ความแม่นยำสูง ระบายความร้อนได้ดีเยี่ยม หากไปอยู่ในมือของคนที่มีประสบการณ์จะถือเป็นภัยคุกคามร้ายแรงมาก"
"traders_7lvl_vehicle_name"	"Adventurer"
"TutorialGearLevel_1_Name"	"Mounting parts"
"TutorialGearLevel_3_Name"	"Mounting parts"
"TutorialGearLevel_4_Name"	"Mounting parts"
"TutorialPveLeviathanComplete_1_Name"	"Invasion"
"TutorialPvpWin_1_Desc"	"ชนะ Missions {$required_value$;battle;ครั้ง}"
"TutorialPvpWin_2_Desc"	"ชนะ Missions {$required_value$;battle;ครั้ง}"
"TutorialPvpWin_3_Desc"	"ชนะ Missions {$required_value$;battle;ครั้ง}"
"TutorialPvpWin_4_Desc"	"ชนะ Missions {$required_value$;battle;ครั้ง}"
"tutorial_completed_msg"	"คุณพร้อมสำหรับการต่อสู้ใน Wasteland แล้ว ทุกอย่างขึ้นกับคุณแล้ว"
"TUTORIAL_HEADER"	"Mounting parts"
"TUTORIAL_HINT1"	"เปิดส่วนเชื่อมต่อด้วยการกดปุ่ม <G>"
"TUTORIAL_HINT2"	"นำเมาส์ไฮไลท์ไปที่ล้อจากนั้นลบออกโดยการกด <X>"
"TUTORIAL_HINT3"	"เปิดคลังด้วยการกด <TAB> จากนั้นเลือกล้อและทำการติดตั้ง"
"TUTORIAL_PLAY_AGAIN"	"รีเพลย์วีดีโอ"
"TUTORIAL_PLAY_NEXT"	"ต่อไป"
"TUTORIAL_SKIP_REQUEST"	"ต้องการข้ามการฝึกสอนหรือไม่? คุณจะไม่สามารถกลับมาทำได้อีก"
"UiShopItem_BundleChinaEvent_Name"	"China OBT start"
"UNIVERSAL_RATING_TITLE"	"คะแนนสากล"
"until"	"แบนจนถึง"
"UR_TITLE"	"พลังรวม"
"UserBlueprintWnd_bought"	"ซื้อ"
"UserBlueprintWnd_bundleTab_bought"	"ซื้อ: $cur$/$max$"
"UserBlueprintWnd_buy"	"ซื้อ"
"UserBlueprintWnd_cost"	"ซื้อด้วยราคา $val$"
"UserBlueprintWnd_desc"	"คุณสามารถหาแบบแปลนสำหรับทดลองขับได้ที่นี่ สร้างรถและนำมาแสดงในโชว์รูมได้"
"UserBlueprintWnd_details_available"	"ต้องการชิ้นส่วน:"
"UserBlueprintWnd_details_bundle_contains"	"แพ็ครายการไอเทม"
"UserBlueprintWnd_details_bundle_reward"	"แพ็คไอเทม:"
"UserBlueprintWnd_details_bundle_unlock"	"Early access"
"UserBlueprintWnd_details_unavailable"	"ขาดชิ้นส่วน:"
"UserBlueprintWnd_factionTab_unlocked"	"ปลดล็อค $cur$/$max$"
"UserBlueprintWnd_timer"	"ใช้ได้ $time$"
"UserBlueprintWnd_title"	"แบบแปลน"
"UserBlueprintWnd_toshop"	"ไปที่ร้านค้า"
"UserBlueprintWnd_toshop_PS4"	"ซื้อ"
"UserBlueprintWnd_toshop_XBONE"	"ซื้อ"
"USERLEVEL_CAP_REACHED"	"ถึงเลเวลสูงสุดแล้ว"
"USERLEVEL_PROGRESS_TOOLTIP"	"ชื่อเสียง: $exp$/$expRequire$"
"USERNAME_HINT"	"ไอดีเกมส์"
"USER_ACTION_VOICE_MUTE"	"ปิดเสียง"
"USER_ACTION_VOICE_UNMUTE"	"เปิดเสียง"
"USER_BLUEPRINT_CLOSE_TOOLTIP"	"เสร็จสิ้นการทำงานด้วยแบบแปลน"
"USER_BLUEPRINT_ERASE_TOOLTIP"	"ลบแบบแปลน"
"USER_BLUEPRINT_INC_BTN_TOOLTIP"	"เพิ่มสล๊อตแบบแปลน"
"USER_BLUEPRINT_SAVE_TOOLTIP"	"เซฟทับแบบแปลน"
"User_notifiaction_got_blueprint"	"คุณต้องการเซฟทับแบบแปลนหรือไม่? แบบแปลนใหม่ๆสามารถใช้งานได้ตลอดเวลาเมนู 'แบบแปลน'"
"User_notifiaction_got_blueprint_use"	"ประกอบ"
"Valentine_quest_desc"	"ชนะ Missions, Raids {$required_value$;battle;ครั้ง}"
"VALUE_NA"	"ไม่มี"
"VAL_OF_MAX"	"$val$ จาก $max$"
"WARINING"	"ระวัง"
"WARNING"	"ระวัง"
"WeaponAssign_Automatic"	"ยิงอัตโนมัติ"
"WeaponAssign_Primary"	"กรุ๊ป 1"
"WeaponAssign_Secondary"	"กรุ๊ป 2"
"WeaponAssign_TITLE"	"เปลี่ยนปุ่มใช้งานอาวุธ"
"WeaponAssign_weaponGroup3"	"กรุ๊ป 3"
"WeaponAssign_weaponGroup4"	"กรุ๊ป 4"
"WeaponAssign_weaponGroup5"	"กรุ๊ป 5"
"WeaponAssign_weaponGroup6"	"กรุ๊ป 6"
"WeaponAssign_weaponGroup7"	"กรุ๊ป 7"
"Weekly_12_Hard_WinsPlatinum_desc"	"ชนะ Hard Raids {$required_value$;battle;ครั้ง} ที่ได้รับ Copper เป็นรางวัล"
"Weekly_2_Easy_WinsScrapCommon_desc"	"ชนะ Missions {$required_value$;battle;ครั้ง} ที่ได้รับ Scrap Metal เป็นรางวัล"
"Weekly_3_Easy_WinsPlatinum_desc"	"ชนะ Easy Raids {$required_value$;battle;ครั้ง} จะได้รางวัลเป็น Copper"
"Weekly_6_Medium_Brawls_desc"	"ได้รับรางวัลจาก Brawls {$required_value$;time;ครั้ง}"
"Weekly_8_Medium_WinsPlatinum_desc"	"ชนะ Normal Raids {$required_value$;battle;ครั้ง} ที่ได้รับ Copper เป็นรางวัล"
"Weekly_9_Medium_WinsPlastic_desc"	"ชนะ Normal Raids {$required_value$;battle;ครั้ง} ที่ได้รับ Plastic เป็นรางวัล"
"WinsPvE_desc"	"ชนะ Raids {$required_value$;raid;ครั้ง}"
"WinsPvE_name"	"Triumph"
"WinsPvP_desc"	"ชนะ Missions {$required_value$;battle;ครั้ง}"
"WinsPvP_name"	"Triumph"
"Wins_desc"	"ชนะ Missions, Raids {$required_value$;battle;ครั้ง}"
"Wins_name"	"Triumph"
"WINXP_SUPPORT_WARNING"	"โปรดทราบ! Crossout จะหยุดการซัพพอร์ตบน Windows XP ในปี 2018 สำหรับวันที่จะประกาศให้ทราบภายหลัง"
"XBOX_Exclusive_pack_Desc"	"- รถหุ้มเกราะ Sandstorm|- อาวุธ: 20 mm. AC43 Rapier|- ตัวถัง Hot-Rod|- อวาตาร์ฮีโร่: Caliban|- สีและลวดลาย: Old salt, Checkers|- 1250 Cash"
"XBOX_Exclusive_pack_Name"	"'Harsh Weekday' pack"
"XBOX_Exclusive_pack_womoney_Desc"	"- รถหุ้มเกราะ Sandstorm;|- อาวุธ: 20 mm. AC43 Rapier cannon;|- ตัวถัง 'Hot-Rod';|- อวาตาร์ฮีโร่: Caliban;|- สีและลวดลาย: Old salt, Checkers."
"XBOX_Exclusive_Vehicle_Desc"	"โชเฟอร์แท็กซี่บ้าคลั่งนาม Caliban เขาโจมตีพวกนักท่องเที่ยวบริเวณใกล้เคียงกับหลุมฝังศพที่โดนทิ้งร้างและกำลังขับไปเรื่อยๆพร้อมกับเหยื่อที่นั่งอยู่บนเบาะสีดำและรถสีส้มของเขา"
"XBOX_Exclusive_Vehicle_Name"	"Sandstorm"
"XBOX_Gold_pack_Desc"	"- รถเสริมเกราะ Snappy|- อาวุธ — LM-54 'Chord' x2|- ตัวถัง Duster|- เพิ่มจำนวนไอเทมสูงสุดเป็น 35"
"XBOX_Gold_pack_Name"	"'Snappy' pack"
"XBOX_Gold_Vehicle_Desc"	"น้ำหนักเบาคล่องแคล่วว่องไว สามารถเข้าสู่ใจกลางสนามรบได้อย่างราดเร็ว แต่ความทนทานต่ำกว่าที่ตาเห็น"
"XBOX_Gold_Vehicle_Name"	"Snappy"
"xmas_bundle_Vehicle_Name"	"Icebreaker"
"YANGAR_TAB_SHOP"	"ร้านค้า"
"Yes"	"ตกลง"
"arc_not_installed_caption"	"ไม่ได้ติดตั้ง Arc"
"arc_not_installed_message"	"คุณต้องติดตั้ง Arc เพื่อเล่น Star Conflict ต้องการดาวน์โหลดในตอนนี้หรือไม่?"
"arc_sdk_not_found"	"ไม่สามารถโหลด ArcSDK.dll ได้. โปรดตรวจสอบไฟล์ ArcSDK.dll ในโฟลเดอร์ที่ทำการติดตั้ง Game Launcher หรือทำการติดตั้งใหม่อีกครั้ง"
"close_button"	"บันทึกการตั้งค่าและออก"
"corrupted_arc_sdk"	" ไฟล์ ArcSDK.dll เสียหาย กรุณาติดตั้ง Game Launcher อีกครั้ง"
"dll_error"	"ข้อผิดพลาด DLL"
"download_progress"	"[done] at [speed]. Rest: [rest]. ETA: [eta]"
"files_corrupted"	"บางไฟล์ได้รับความเสียหาย ดำเนินการตรวจสอบไฟล์ทั้งหมด"
"files_needs_check"	"ตรวจสอบความเชื่อมโยงของไฟล์เกม."
"files_ok"	"เริ่มเล่น"
"header"	"Crossout Open Beta Test"
"latest_game"	"ดาวน์โหลดผ่าน torrent"
"latest_launcher"	"เชื่อมโยงโดยตรงกับ Launcher เวอร์ชั่นล่าสุด"
"logo"	"img/xo_logo_thai.png"
"menu_forum"	"Facebook"
"menu_forum_link"	"https://www.facebook.com/Crossout.TH/"
"menu_registration"	"ลงทะเบียน"
"menu_registration_link"	"http://star-conflict.com/en/registration"
"menu_repair"	"ซ่อมแซม"
"menu_site"	"เวบไซต์"
"menu_site_link"	"http://crossout.gg.in.th/"
"minimize_button"	"ย่อหน้าต่างวินโดว์"
"netstate_limited"	"จำกัดเครือข่าย"
"netstate_ok"	"เครือข่าย OK"
"netstate_start"	"ตรวจสอบเครือข่าย..."
"network/seeds"	"การเชื่อมต่อ"
"network/speed"	"ความเร็ว"
"network/upload_speed"	"ความเร็ว Seeding"
"news_url"	"http://crossout.gg.in.th/content/launcher-news"
"portprobe_fail_desc"	"ตรวจสอบการตั้งค่า Firewall"
"portprobe_fail_local"	"ต้องมีการเชื่อมต่อขาเข้ากับพอร์ต::"
"portprobe_fail_proto"	"พบข้อผิดพลาดของโปรโตคอลเครือข่ายซึ่งอาจทำให้เกิดปัญหาการเชื่อมต่อได้"
"portprobe_fail_remote"	"ต้องมีการเชื่อมต่อขาออกไปยังพอร์ต:"
"postfix"	"thai"
"repair_complete"	"ซ่อมไฟล์เสร็จสิ้น"
"repair_failed"	"ซ่อมไฟล์ล้มเหลว ติดตั้งใหม่อีกครั้ง"
"restart_check"	"ตรวจสอบการรีสตาร์ท"
"server"	"เซิร์ฟเวอร์"
"server_fail"	"ออฟไลน์"
"server_ok"	"ออนไลน์"
"settings/prefer_d3d11"	"Launch 64-bit/DirectX 11 game client (instead of 32-bit/DirectX 9)"
"settings/server"	"Server group"
"settings_button_close"	"ปิดการตั้งค่า torrent"
"settings_button_open"	"เปิดการตั้งค่า torrent"
"size_b"	"B"
"size_gb"	"GB"
"size_kb"	"KB"
"size_mb"	"MB"
"speed_b"	"B/s"
"speed_gb"	"GB/s"
"speed_kb"	"KB/s"
"speed_mb"	"MB/s"
"time_day"	"d"
"time_hour"	"h"
"time_inf"	"∞"
"time_min"	"m"
"time_sec"	"s"
"torrent/DHT"	"ใช้ DHT"
"torrent/limit_dnl_speed"	"จำกัดความเร็วในการดาวน์โหลด(KBS):"
"torrent/limit_upl_speed"	"จำกัดความเร็วในการอัพโหลด (kBs):"
"torrent/peer_exchange"	"ใช้การเปลี่ยน Peer"
"torrent/seed_on"	"Seed หลังจากดาวน์โหลดไฟล์"
"torrent/tracker_exchange"	"ใช้การเปลี่ยน Tracker"
"torrent/UTP"	"UTP ดาวน์โหลด"
"torrent/UTP_title"	"การใช้ UTP จะเพิ่มความเร็วในการดาวน์โหลดแต่ในบางกรณีก็อาจทำให้เกิดปัญหาได้"
"torrent_analyzing_files"	"กำลังวิเคราะห์ไฟล์..."
"torrent_before_download"	"เตรียมการดาวน์โหลด..."
"torrent_copying"	"คัดลอกไฟล์..."
"torrent_downloading"	"ดาวน์โหลดไฟล์..."
"torrent_fail"	"ไม่สามารถดาวน์โหลดได้"
"torrent_settings"	"การตั้งค่า Torrent"
"torrent_success"	"อัพเดทสำเร็จ"
"torrent_yup_downloading"	"ดาวน์โหลดข้อมูลการอัพเดท..."
"uninstalling"	"กำลังลบไฟล์ , รอสักครู่..."
"update_check"	"ตรวจสอบการอัพเดท"
"yuplay/checking_files"	"กำลังตรวจสอบไฟล์ , รอสักครู่ ..."
"yuplay/check_caption"	"ตรวจสอบไฟล์"
"yuplay/check_fail2"	"ต้องการดาวน์โหลดไฟล์เวอร์ชั่นล่าสุดหรือไม่?"
"yuplay/do_check_files"	"ตรวจสอบไฟล์ทั้งหมด"
"yuplay/err_access_rights"	"ไม่ได้รับอนุญาตให้ดำเนินการ"
"yuplay/err_free_space"	"พื้นที่ดิสก์ไม่เพียงพอ"
"yuplay/fast_check_caption"	"ตรวจสอบไฟล์เร่งด่วน"
"yuplay/fast_check_fail"	"ไฟล์บางส่วนได้รับความเสียหาย:"
"yuplay/fast_check_fail2"	"ต้องการตรวจสอบไฟล์ทั้งหมด?"
"yuplay/fast_check_more"	"ไฟล์อื่นๆ และ %d"
"yuplay/uninstall"	"ถอนการติดตั้ง"
"yuplay/uninstall_fail"	"ไฟล์บางส่วนยังไม่ถูกลบ:"
"yuplay/uninstall_more"	"ไฟล์อื่นๆ และ %d"
"yuplay_err_disk"	"ดิสก์ อ่าน/เขียน เกิดข้อผิดพลาด. ต้องการลองอีกครั้งหรือไม่?"
"yuplay_err_torrent_stop_timeout"	"Launcher ไม่สามารถเขียนไฟล์ที่ดาวน์โหลดลงในดิกส์ได้ ต้องการเริ่มใหม่และตรวจสอบไฟล์อีกครั้ง?"
"yuplay_err_torrent_stop_timeout_caption"	"Crossout Launcher"
"ARTCARD_INFO_SELL"	"$amount$ ที่ขาย, ราคาเริ่มต้นที่ $price$"
"AUCTION_BUY_BLUEPRINT_CONFIRM"	"คุณต้องการซื้อ '$name$' ด้วยราคา $cost$ | มันจะถูกเพิ่มลงในรายการแบบแปลนแบบกำหนดเอง ยืนยัน?"
"AUCTION_BUY_CAR_CONFIRM"	"คุณต้องการซื้อรถ '$name$' ด้วยราคา $cost$ | @ffff0000รถที่เลือกจะถูกแทนที่ @ffffffff แนะนำให้บันทึกแบบแปลนยานหาพนะปัจจุบันเพื่อป้องกันข้อมูลสูญหาย ยืนยัน?"
"AUCTION_BUY_CONFIRM"	"คุณต้องการซื้อ '$name$' $amount$ ชิ้น ในราคา $cost$ | ยืนยัน?"
"AUCTION_BUY_GEAR_ERROR"	"|@ffff0000คำเตือน:@ffffffff จำนวนไอเทมรวม ($gearLvlMax$)ไม่พอในการใช้แบบแปลน ต้องการไอเทมทั้งหมด — $gearLvlItem$"
"AUCTION_BUY_PARTS_ERROR"	"|'@ffff0000คำเตือน:@ffffffff ไอเทมไม่พอในการใช้แบบแปลน"
"AUCTION_CONFIRM_TITLE"	"ยืนยันความต้องการ"
"AUCTION_ORDER_CANCEL_CONFIRM"	"คุณต้องการยกเลิกการขาย $name$ $amount$ ชิ้น $cost$ | ยืนยัน?"
"AUCTION_SELL_CONFIRM"	"ขาย $name$ $smount$ ชิ้น ความทนทาน $dur$  $profit$?|ค่าธรรมเนียม — $tax$"
"AUC_HEADER_AMOUNT"	"จำนวน"
"AUC_HEADER_NAME"	"ความนิยม"
"AUC_HEADER_PRICE"	"ราคา"
"AUC_HEADER_TIME"	"เวลาเหลือ"
"AUC_HEADER_USER"	"ผู้ขาย"
"AUC_PURCHASE_HELP"	"รวมค่าธรรมเนียม $tax$ ($percent$% ปัดเศษทั้งหมด)"
"AUC_SELL_HELP"	"รวมค่าธรรมเนียมจากตลาด $tax$ ($percent$% จากแต่ละหน่วย)"
"AUC_TAB_MY_ITEMS"	"ข้อเสนอของฉัน"
"AUC_TAB_REMOTE_ITEMS"	"ข้อเสนอ"
"AUC_TAB_REMOTE_PURCHASES"	"คำขอ"
"blueprint_view_details"	"ไอเทม:"
"blueprint_view_details_count"	"ไอเทม เจ้าของ $count$/$max$"
"blueprint_view_saler"	"ผู้ขาย: $name$"
"blueprint_view_title_blueprint"	"ซื้อแบบแปลน"
"blueprint_view_title_car"	"ซื้อรถและไอเทม"
"CHAT_BLUEPRINTS_Purchased"	"คุณซื้อแบบแปลนในราคา $price$"
"CHAT_BLUEPRINTS_Sold"	"คุณขายแบบแปลนในราคา $price$"
"CHAT_CARS_Purhcased"	"คุณซื้อรถในราคา $price$"
"CHAT_CARS_Sold"	"คุณขายรถในราคา $price$"
"CHAT_ITEMS_Purchased"	"คุณซื้อลัง $item$ $count$ ชิ้น ในราคา $price$"
"CHAT_ITEMS_Sold"	"คุณขาย $item$ $count$ ชิ้น ในราคา $price$"
"CHAT_ITEM_AoReqCanceled"	"คำขอซื้อไอเทมถูกยกเลิก เนื่องจากเงินไม่พอ"
"CHAT_ITEM_AoReqExpired"	"คำขอซื้อไอเทมหมดอายุ"
"CHAT_RESOURCES_Purchased"	"คุณซื้อลัง $type$ x$count$ ในราคา $price$"
"CHAT_RESOURCES_Sold"	"คุณขาย $type$ $count$ ชิ้น ในราคา $price$"
"CHAT_RESOURCE_AoReqCanceled"	"คำขอซื้อ Scrap ถูกยกเลิกเนื่องจากเงินไม่พอ"
"CHAT_RESOURCE_AoReqExpired"	"คำขอซื้อ Scrap หมดอายุ"
"ChestOpen_market_cost"	"ราคาปัจุบัน: $cost$"
"ChestOpen_market_resource_cost"	"ราคาปัจุบัน: x$pack_size$: $cost$"
"ChestOpen_to_market"	"แลกเปลี่ยน"
"GARAGE_MARKETPLACE"	"ตลาด"
"GARAGE_MARKETPLACE_TOOLTIP"	"คุณสามารถซื้อหรือขายไอเทมให้กับผู้เล่นอื่นเพราะทำรายได้ให้ตนเองได้ที่ตลาด"
"HANGAR_TAB_MARKET_BLUEPRINTS"	"แบบแปลน"
"HANGAR_TAB_MARKET_CARS"	"รถ"
"HANGAR_TAB_MARKET_HISTORY"	"ประวัติ"
"HANGAR_TAB_MARKET_HISTORY_TOOLTIP"	"การดำเนินการซื้อขายที่สำเร็จก่อนหน้านี้"
"HANGAR_TAB_MARKET_MY_ITEMS"	"ข้อเสนอของฉัน"
"HANGAR_TAB_MARKET_MY_ITEMS_TOOLTIP"	"คำสั่งซื้อและรายการขายของฉัน"
"HANGAR_TAB_MARKET_PARTS"	"ไอเทม"
"HANGAR_TAB_MARKET_PARTS_TOOLTIP"	"พื้นที่สำหรับซื้อขายแลกเปลี่ยนกับผู้เล่นอื่นๆ"
"HANGAR_TAB_MARKET_RESOURCES"	"ทรัพยากร"
"HINT_TEXT_MARKET_INFO"	"ขายหรือซื้อไอเทมจากผู้เล่นอื่นเป็นเงิน Cash"
"HINT_TITLE_MARKET_INFO"	"แพลตฟอร์มซื้อขายไอเทม"
"instant_sell_no_items"	"ขณะนี้ไม่มีคำขอซื้อไอเทม คุณสามารถขายด้วยตนเองหรือรอคำขอใหม่ๆ"
"INVENTORY_MARKET_TOTAL_PRICE"	"ราคารวมของไอเทมทั้งหมด @ffffff00$buyTotalPrice$"
