"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"PART_ITEM_UR"	"Puntos de poder (PS)"
"PART_NEW"	"¡Nuevo!"
"PASSWORD"	"Contraseña"
"PERCENT_UNIT"	"%"
"Period_DAYS_1"	"1 día"
"Period_DAYS_3"	"3 días"
"Period_Desc"	"Duración"
"Period_HOURS_1"	"1 hora"
"Period_MONTHS_1"	"1 mes"
"Period_WEEKS_1"	"1 semana"
"Period_WEEKS_2"	"2 semanas"
"Period_YEARS_10"	"10 años"
"Perk_BoundStartItem_Desc"	"Este objeto no se puede vender en el mercado."
"PickupBase_desc"	"Cabina, ruedas y nada más."
"PickupBase_name"	"Chasis de furgoneta"
"PLAYER_RENAME_MSG"	"Escribe tu nombre (máx. 64 caracteres):"
"PLAYER_RENAME_TITLE"	"Cambiar nombre"
"PMMA_KICK"	"Eliminar del grupo"
"PMMA_LEAVE"	"Abandonar grupo"
"PMMA_MAKE_LEADER"	"Ascender a líder"
"POWER_TITLE"	"Energía"
"POWER_TOOLTIP"	"La energía limita el número de armas y módulos que se pueden instalar.|Cambia tu cabina o instala un generador para obtener energía adicional."
"POWER_UNIT"	"pts."
"Premium_Quest_Text"	"Un desafío único diario con una recompensa de 40 coins"
"ProfileProgressWnd_count"	"@ffa0a0a0Reunido: @ffffffff$val$/$max$"
"ProfileProgressWnd_total"	"Objetos recibido:"
"PROFILE_STATS_MEDALS"	"Medallas"
"PROFILE_STATS_RARITY_EPIC"	"Épico"
"PROFILE_STATS_UR"	"Puntos de poder (PS)"
"Psicho_Boss_Normal"	"Núcleo duro"
"Psicho_Destroyer_Normal"	"Triturador"
"Psicho_Killer_Normal"	"Chillón"
"psn_bundle_for_150_gold"	"150 monedas"
"psn_bundle_for_1650_gold"	"1650 monedas"
"psn_bundle_for_3500_gold"	"3500 monedas"
"psn_bundle_for_350_gold"	"350 monedas"
"psn_bundle_for_50_gold"	"50 monedas"
"psn_bundle_for_7500_gold"	"7500 monedas"
"psn_bundle_for_875_gold"	"875 monedas"
"PSN_Exclusive_pack_Desc"	"- Vehículo acorazado original Ronda;|- Arma: Raro cañón automático AC43 Rapier de 20 mm;|- Cabina única 'Hot-Rod';|- Retrato de héroe original:  \"cazador\";|- Latas de pintura: poli bueno, poli malo;|- 1250 monedas del juego."
"PSN_Exclusive_pack_Name"	"Pack «Ley de los páramos»"
"PSN_Exclusive_pack_womoney_Desc"	"- Vehículo acorazado original Ronda;|- Arma: Raro cañón automático AC43 Rapier de 20 mm;|- Cabina única 'Hot-Rod';|- Retrato de héroe original:  \"cazador\";|- Latas de pintura: poli bueno, poli malo."
"PSN_Exclusive_pack_womoney_Name"	"Pack «Ley de los páramos»"
"PSN_Exclusive_Vehicle_Name"	"Coche patrulla"
"PSN_INVITE_DESC"	"Ayuda a tu amigo y únete a él en combate."
"PSN_INVITE_NAME"	"Invitación de grupo"
"PSN_INVITE_TEXT"	"¡Únete a la batalla en Crossout!"
"PSN_Plus_pack_Desc"	"- Veículo blindado reforçado exclusivo 'Snappy';|- Cabina única 'Duster';|- Armamento do blindado — duas metralhadoras LM-54 Chord."
"PSN_Plus_Vehicle_Name"	"Snappy"
"psycho_Boss_easy"	"Sacudidor"
"psycho_Boss_easy_name"	"Scarecrow"
"psycho_Boss_hard"	"Desgracia"
"psycho_Boss_hard_name"	"Mayhem"
"psycho_Boss_medium"	"Guardián"
"psycho_Boss_medium_name"	"Sketch"
"psycho_GunneryKiller_hard"	"Bum bum"
"psycho_GunneryKiller_medium"	"Bum bum"
"psycho_MeatKiller_easy"	"Cargador"
"psycho_MeatKiller_hard"	"Cargador"
"psycho_MeatKiller_medium"	"Cargador"
"psycho_MeleeKiller_easy"	"Pez espada"
"psycho_MeleeKiller_hard"	"Pez espada"
"psycho_MeleeKiller_medium"	"Pez espada"
"psycho_OfficerKiller_hard"	"Destructor"
"psycho_OfficerKiller_medium"	"Destructor"
"PunishReason_CaptchaFailed"	"Has fallado al introducir el texto de la imagen."
"PunishReason_ChatAbuse"	"Decir palabrotas o mandar spam en chat"
"PunishReason_Cheating"	"Uso de software no autorizado"
"PunishReason_GameMechanicsAbuse"	"Tu cuenta ha sido bloqueada por múltiples violaciones de los términos de uso y la sección 7 de las reglas del juego: conducta inaceptable o antideportiva. Puedes leer las reglas del juego y apelar a través de este enlace: $url href=\"https://forum.crossout.net/index.php?/topic/254998-rules-of-behavior-on-the-game-servers/\" text=\"forum.crossout.net\"$"
"PunishReason_General"	"Tu cuenta ha sido bloqueada por múltiples violaciones de los términos de uso y el acuerdo de usuario. $url href=\"https://crossout.net/en/support/eula#/\" text=\"EULA\"$|$url href=\"https://crossout.net/en/support/termsofuse#/\" text=\"Términos de uso\"$"
"PunishReason_Not_setted"	"No seleccionado"
"PunishReason_Slacking"	"Tu cuenta ha sido bloqueada por múltiples violaciones de los términos de uso y la sección 7 de las reglas del juego: estar inactivo en batalla, uso de bots. Puedes leer las reglas del juego y apelar a través de este enlace: $url href=\"https://forum.crossout.net/index.php?/topic/254998-rules-of-behavior-on-the-game-servers/\" text=\"forum.crossout.net\"$"
"Pve_Giantsiege"	"Cuna del acero"
"pve_info_message"	"¡Atención, superviviente! El cobre es muy importante a la hora de fabricar piezas para los vehículos blindados. Puedes conseguirlo al participar en 'Incursiones'."
"QuestCompletedWnd_quest"	"¡Desafío completado!"
"QUESTLOG_TIMER"	"Tiempo hasta el próximo desafío: %02d:%02d:%02d"
"QUESTS_WND_COMPLETE"	"Completada"
"QUESTS_WND_FOOTER_DESC"	"{$count$;'desafío';'desafíos'} disponibles"
"QUESTS_WND_GOTO_BTN"	"Ir a"
"QUESTS_WND_HEADER_DAILY"	"Desafíos diarios"
"QUESTS_WND_HEADER_TUTORIAL"	"Primeros Pasos"
"QUESTS_WND_QUESTS_TITLE"	"Desafíos"
"QUESTS_WND_REWARD_TITLE"	"Recompensas"
"QUESTS_WND_WEEKLY_DESC"	"Recibirás valiosos recursos al completar los desafíos diarios. Y los desafíos semanales te ofrecerán una recompensa especial — 'Insignias de Ingeniero' que puedes intercambiar por recursos y otros objetos interesantes en el taller de Ivy XO."
"QUESTWND_DAILY_REQ_LVL_DESC"	"Alcanza el nivel $lvl$ de reputación con la facción de los \"Ingenieros\" para desbloquear los desafíos."
"QUESTWND_HEADER_DAILY"	"Desafíos diarios"
"QUESTWND_HEADER_SEASON"	"Desafíos de temporada"
"QUESTWND_HEADER_SPECIAL"	"Desafíos especiales"
"QUESTWND_HEADER_TIME"	"Desafíos temporales"
"QUESTWND_NO_DAILY_DESC"	"Tienes que esperar hasta mañana para que aparezcan nuevos desafíos."
"QUESTWND_NO_DAILY_TITLE"	"No hay desafíos disponibles"
"Quest_23feb_15_desc"	"Gana {$required_value$;batalla;batallas} en la brawl \"Cara a cara\"."
"Quest_23feb_1_name"	"Con Fuego y Espada"
"Quest_23feb_3_name"	"Con Fuego y Espada"
"Quest_23feb_5_desc"	"Gana {$required_value$;batalla;batallas} en la brawl \"Cara a cara\"."
"Quest_23feb_5_name"	"Con Fuego y Espada"
"Quest_8march_desc"	"Gana {$required_value$;batalla;batallas} en los modos 'Misión' o 'Incursión'."
"Quest_April1st_20_name"	"Singularidad"
"Quest_CapturePoint_Desc"	"Captura la base del oponente en el modo 'Misión'."
"Quest_CapturePoint_Name"	"Capturar"
"Quest_Crossout_Football_2018_5_desc"	"Gana {$required_value$;batalla;batallas} en la brawl \"Campeonato de Acero\"."
"Quest_DamageBlast_Desc"	"En el modo 'Misión', inflige $required_value$ de daño explosivo."
"Quest_DamageBlast_Name"	"Bombardero"
"Quest_DamageMelee_Desc"	"Inflige $required_value$ daño por embestida en misiones"
"Quest_DamageMelee_Name"	"Gigante"
"Quest_DamageRange_Desc"	"En el modo 'Misión', inflige $required_value$ de daño usando balas."
"Quest_DamageRange_Name"	"Tirador"
"Quest_Damage_Desc"	"En el modo 'Misión', inflige $required_value$ de daño de cualquier tipo."
"Quest_Damage_Name"	"A toda marcha"
"Quest_DeReleaseEvent1_Desc"	"Participa en 10 batallas"
"Quest_DeReleaseEvent1_Name"	"Cruzada I"
"Quest_DeReleaseEvent2_Desc"	"Gana en 10 batallas"
"Quest_DeReleaseEvent2_Name"	"Cruzada II"
"Quest_KillBlast_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} con explosiones."
"Quest_KillBlast_Name"	"Perdición"
"Quest_KillMelee_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} por embestida."
"Quest_KillMelee_Name"	"Matón"
"Quest_KillRange_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} usando balas."
"Quest_KillRange_Name"	"Comando"
"Quest_Kill_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} de cualquier forma."
"Quest_Kill_Name"	"Asesinato"
"Quest_Lunar18_10_desc"	"Gana {$required_value$;batalla;batallas} en los modos 'Misión' o 'Incursión'."
"Quest_Lunar18_5_desc"	"Gana {$required_value$;batalla;batallas} en los modos 'Misión' o 'Incursión'."
"QUEST_NO_MORE"	"Un nuevo día — ¡un nuevo desafío!"
"QUEST_REWARDS"	"$hlight$Recompensa: $rewardsList$$hlightEnd$"
"Quest_special_daily_reward_Desc"	"Pasa $time$ dentro del juego a lo largo de un día."
"Quest_special_daily_reward_Name"	"Fiebre del oro"
"Quest_special_weekly_reward_Desc"	"Pasa $time$ dentro del juego a lo largo de una semana."
"Quest_special_weekly_reward_Name"	"Oro de Wasteland"
"QUEST_TITLE"	"Desafíos de hoy"
"QUEST_TOOLTIP_battle_royale"	"Este es un evento especial por lo que la recompensa también es bastante especial."
"QUEST_TOOLTIP_BRAWL"	"Este es un evento especial por lo que la recompensa también es bastante especial. Tienes $time$ para completar este desafío. "
"QUEST_TOOLTIP_DAYLY"	"Todos los días recibirás nuevos desafíos con los que podrás obtener valiosos recursos.|El progreso no se guardará para el día siguiente.||Los desafíos se actualizarán en $time$."
"QUEST_TOOLTIP_EQUIPPED_SUBTYPES"	"Instala piezas del tipo \"$subtypes$\""
"QUEST_TOOLTIP_EVENT"	"Este es un evento especial por lo que la recompensa será especial.|Desafío \"$eventName$\" $eventStage$/$eventStageMax$.|El evento especial terminará en $time$. "
"QUEST_TOOLTIP_MBP"	"Este es un evento especial por lo que la recompensa también es bastante especial. Tienes $time$ para completar este desafío. "
"QUEST_TOOLTIP_TUTORIAL"	"Al completar estas tareas no solo adquirirás las habilidades necesarias para sobrevivir en el mundo de Crossout, sino que también recibirás una recompensa."
"QUEST_TOOLTIP_UNEQUIPPED_SUBTYPES"	"No se puede llevar: $subtypes$"
"QUEST_TOOLTIP_USED_SUBTYPES"	"Usa piezas del tipo \"$subtypes$\""
"QUEST_TOOLTIP_WEEKLY"	"Las insignias recibidas como recompensa por los desafíos más difíciles se pueden intercambiar por valiosos premios en el taller.||Cada semana tendrás disponible nuevos desafíos.|El progreso no se guardará para la siguiente semana.||Los desafíos se actualizarán en $time$."
"QUEST_TYPE_DAMAGE_DONE_DESC"	"Inflige $maxValue$ de daño"
"QUEST_TYPE_DETACH_PARTS_DESC"	"Destruye {$maxValue$;pieza;piezas}"
"QUEST_TYPE_KILL_MOB_DESC"	"Destruye a {$maxValue$;asaltante;asaltantes}"
"QUEST_TYPE_KILL_PLAYER_DESC"	"Destruye a {$maxValue$;jugador;jugadores}"
"QUEST_TYPE_MEDAL_GOT_DESC"	"Consigue el parche \"$medal$\""
"QUEST_TYPE_WIN_DESC"	"Gana {$maxValue$;batalla;batallas}"
"QUEST_TYPE_WIN_STREAK_DESC"	"Gana {$maxValue$;batalla;batallas} consecutivas"
"Quest_UsReleaseEvent1_Desc"	"Participa en 5 combates"
"Quest_UsReleaseEvent1_Name"	"Barras y estrellas I"
"Quest_UsReleaseEvent2_Desc"	"Participa en 5 batallas"
"Quest_UsReleaseEvent2_Name"	"Barras y estrellas II"
"Quest_UsReleaseEvent3_Desc"	"Gana en 3 batallas"
"Quest_UsReleaseEvent3_Name"	"Barras y estrellas III"
"Quest_Wins_German_Desc"	"Gana {$required_value$;batalla;batallas} en los modos 'Misión' o 'Incursión'."
"Quest_Wins_German_Name"	"Triunfo"
"QUEST_WND_CRAFT_BTN"	"Al taller"
"QUEUE_WAIT_TIME"	"Tiempo en cola"
"RANGE_TITLE"	"Alcance"
"RARITY_BASE"	"Base"
"RARITY_COMMON"	"Común"
"RARITY_EPIC"	"Épica"
"RARITY_EXOTIC"	"Antigua"
"RARITY_LEGENDARY"	"Legendaria"
"RARITY_RARE"	"Inusual"
"READY"	"A punto"
"Reason_Desc"	"Motivo"
"REMOVE_FRIEND_BTN"	"Eliminar"
"REPORTREASON_BLUEPRINTS_FILTHY_LANGUAGE"	"Lenguaje soez"
"REPORTREASON_BLUEPRINTS_OBSCENE_CONTENT"	"Contenido inapropiado"
"REPORTREASON_BLUEPRINTS_OTHER"	"Otro"
"REPORTREASON_CHAT_FILTHY_LANGUAGE"	"Lenguaje soez"
"REPORTREASON_CHAT_INSULT"	"Insultos"
"REPORTREASON_CHAT_OTHER"	"Otro"
"REPORTREASON_CHAT_SPAM"	"Spam"
"REPORT_DESC_TITLE"	"Descripción"
"REPORT_REASON_TITLE"	"Motivo"
"REPORT_SEND"	"Denunciar"
"REPORT_TITLE"	"Informe de infracción"
"REPORT_USER_TITLE"	"Infractor"
"ResourcePack_Gasoline25_Desc"	"Alto octanaje, bajo octanaje... ¡Si fluye y arde, se puede usar como combustible!"
"ResourcePack_Gasoline_Large_Name"	"Combustible"
"ResourcePack_Gasoline_Med_Name"	"Combustible"
"ResourcePack_Gasoline_Small_Name"	"Combustible"
"ResourcePack_Platinum100_Desc"	"100 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum120_Desc"	"120 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum20_Desc"	"20 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum20_Name"	"Cobre"
"ResourcePack_Platinum45_Desc"	"45 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum50_Desc"	"50 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum5_Desc"	"5 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum5_Name"	"Cobre"
"ResourcePack_Platinum60_Desc"	"60 unidades de cobre de la vasta extensión de Wasteland."
"ResourcePack_Platinum_Large_Name"	"Cobre"
"ResourcePack_Platinum_Med_Name"	"Cobre"
"ResourcePack_Platinum_Small_Name"	"Cobre"
"ResourcePack_RepairKit9_Desc"	"Un pack de 10 kits de reparación."
"ResourcePack_Scrap_Common_1000_Desc"	"1000 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_1000_Name"	"Chatarra"
"ResourcePack_Scrap_Common_100_desc"	"100 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_100_Name"	"Chatarra"
"ResourcePack_Scrap_Common_10_Desc"	"10 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_10_Name"	"Chatarra"
"ResourcePack_Scrap_Common_150_desc"	"150 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_150_Name"	"Chatarra"
"ResourcePack_Scrap_Common_15_Desc"	"15 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_15_Name"	"Chatarra"
"ResourcePack_Scrap_Common_1_Desc"	"1 unidad de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_1_Name"	"Chatarra"
"ResourcePack_Scrap_Common_200_Desc"	"200 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_200_Name"	"Chatarra"
"ResourcePack_Scrap_Common_20_Desc"	"20 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_20_Name"	"Chatarra"
"ResourcePack_Scrap_Common_250_Desc"	"250 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_250_Name"	"Chatarra"
"ResourcePack_Scrap_Common_25_Desc"	"25 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_25_Name"	"Chatarra"
"ResourcePack_Scrap_Common_300_Desc"	"300 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_300_Name"	"Chatarra"
"ResourcePack_Scrap_Common_30_Desc"	"30 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_30_Name"	"Chatarra"
"ResourcePack_Scrap_Common_400_Desc"	"400 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_400_Name"	"Chatarra"
"ResourcePack_Scrap_Common_500_Desc"	"500 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_500_Name"	"Chatarra"
"ResourcePack_Scrap_Common_50_Desc"	"50 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_50_Name"	"Chatarra"
"ResourcePack_Scrap_Common_5_Desc"	"5 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_5_Name"	"Chatarra"
"ResourcePack_Scrap_Common_600_Desc"	"600 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_600_Name"	"Chatarra"
"ResourcePack_Scrap_Common_70_Desc"	"70 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_70_Name"	"Chatarra"
"ResourcePack_Scrap_Common_75_Desc"	"75 unidades de chatarra de la vasta extensión de Wasteland."
"ResourcePack_Scrap_Common_75_Name"	"Chatarra"
"ResourcePack_Scrap_Common_Large_Name"	"Chatarra"
"ResourcePack_Scrap_Common_Med_Name"	"Chatarra"
"ResourcePack_Scrap_Common_Name"	"Chatarra"
"ResourcePack_Scrap_Common_Small_Name"	"Chatarra"
"ResourcePack_Scrap_Epic_Large_Name"	"Circuitos electrónicos"
"ResourcePack_Scrap_Epic_Med_Name"	"Circuitos electrónicos"
"ResourcePack_Scrap_Epic_Small_Name"	"Circuitos electrónicos"
"ResourcePack_Scrap_Rare_Large_Name"	"Cables"
"ResourcePack_Scrap_Rare_Med_Name"	"Cables"
"ResourcePack_Scrap_Rare_Small_Name"	"Cables"
"RESOURCE_DESC_GermanMoney"	"En lugar de dinero, los Caballeros usan unas fichas hexagonales llamadas \"Táleros\" que intercambian por curiosos artilugios. Es mejor gastar los Táleros antes de que el ejército vuelva a ponerse en marcha."
"RESOURCE_DESC_HalloweenMoney"	"Durante la festividad de Halloween, se usa en las recetas del \"Caldero de la bruja\".|Asegúrate de gastar todos los dulces antes de que acabe el evento y cocinar algo delicioso con ellos."
"RESOURCE_DESC_RepairKit"	"Se usa para devolverte al combate cuando tu vehículo ha sido destruido durante una incursión."
"RESOURCE_DESC_TokenZone1"	"Si miras de cerca, algunos casquillos de proyectiles de ametralladora tienen un grabado apenas perceptible. Esto no afecta a las características de las balas, pero hay cierta persona que está dispuesta a intercambiar armas inusuales por casquillos inusuales."
"RESOURCE_INSTANT_BUY_TITLE"	"Compra x$pack_size$ por"
"RESOURCE_INSTANT_SELL_TITLE"	"Vender x$pack_size$ por"
"RESOURCE_TYPE_GermanMoney"	"Tálero"
"RESOURCE_TYPE_HalloweenMoney"	"Dulces Peligrosos"
"RESOURCE_TYPE_RepairKit"	"Kit de reparaciones"
"Restriction_ANY_FACTION_LEVEL_Desc_1"	"Requiere reputación ($level$) con $faction_1$."
"Restriction_ANY_FACTION_LEVEL_Desc_2"	"Requiere reputación ($level$) con $faction_1$ o $faction_2$."
"Restriction_ANY_FACTION_LEVEL_Desc_3"	"Requiere reputación ($level$) con $faction_1$, $faction_2$ o $faction_3$."
"Restriction_ANY_FACTION_LEVEL_Desc_4"	"Requiere reputación ($level$) con $faction_1$, $faction_2$, $faction_3$ o $faction_4$."
"Restriction_ANY_FACTION_LEVEL_Name"	"Se requiere reputación de facción"
"Restriction_AUCTION_BUY_SLOTS_MAX_Desc"	"Estás intentando realizar demasiadas solicitudes de compra de objetos. Para realizar una nueva solicitud, cancela primero tus otras solicitudes desde la sección del mercado \"Mis ofertas\"."
"Restriction_AUCTION_BUY_SLOTS_MAX_Name"	"No hay más espacios libres"
"Restriction_AUCTION_SELL_SLOTS_MAX_Desc"	"Has llenado todos los espacios disponibles para publicar órdenes de venta. Para poner a la venta más objetos, cancela primero tus otras ofertas desde la sección del mercado \"Mis ofertas\"."
"Restriction_AUCTION_SELL_SLOTS_MAX_Name"	"No hay más espacios libres"
"Restriction_CRAFTSMAN_STAMINA_Desc"	"Tienes que ampliar el alquiler del banco de trabajo para seguir fabricando piezas."
"Restriction_CRAFTSMAN_STAMINA_Name"	"Alquiler vencido"
"Restriction_EMPTY_WORKPLACE_Desc"	"Contratar a un artesano requiere puestos de trabajo libres.|Mejora el taller de tu campamento para obtener más puestos de trabajo."
"Restriction_EMPTY_WORKPLACE_Name"	"No hay puestos de trabajo"
"Restriction_FREE_BLUEPRINT_SLOT_MAX_Desc"	"Todos los espacios para planos personalizados están ocupados, no hay más mejoras disponibles.|Elimina uno de tus planos personalizados."
"Restriction_FREE_BLUEPRINT_SLOT_MAX_Name"	"No hay espacio para planos"
"Restriction_GARAGE_TOO_SMALL_Desc"	"Se desbloqueará una nueva plaza de aparcamiento en el nivel de reputación $level$ con @FF00FF00ingenieros@FFFFFFFF. Obtén experiencia en combate para incrementar tu reputación."
"Restriction_GARAGE_TOO_SMALL_Name"	"El garaje está lleno"
"Restriction_GEAR_LIMIT_Desc"	"El incremento del tamaño máximo del vehículo se desbloqueará en el nivel de reputación $level$ con la facción de los @FF00FF00ingenieros@FFFFFFFF."
"Restriction_GEAR_LIMIT_MAX_Desc"	"Se ha excedido el límite de piezas en $tech_lack$. Elimina piezas existentes del vehículo para instalar otras nuevas."
"Restriction_GEAR_LIMIT_MAX_Name"	"Se ha alcanzado el límite de piezas totales"
"Restriction_GEAR_LIMIT_Name"	"Límite de piezas totales excedido"
"Restriction_GET_MONEY_Desc"	"Puedes obtener más dinero vendiendo algo en el mercado o comprando monedas en la tienda."
"Restriction_GET_MONEY_Desc_PS4"	"Puedes obtener más dinero vendiendo algo en el mercado o comprando monedas en PlayStation™Store."
"Restriction_GET_MONEY_Desc_XBONE"	"Puedes obtener más dinero vendiendo algo en el mercado o comprando monedas en Tienda Xbox."
"Restriction_GET_MONEY_Name"	"Añadir fondos"
"Restriction_INENTORY_HARD_CUP_Desc"	"Imposible ampliar el almacén; ya se ha alcanzado el nivel máximo del almacén."
"Restriction_INENTORY_HARD_CUP_Name"	"Operación no válida"
"Restriction_INENTORY_MAX_SIZE_Desc"	"Imposible ampliar el almacén; ya se ha alcanzado el nivel máximo del almacén."
"Restriction_INENTORY_MAX_SIZE_Name"	"Operación no válida"
"Restriction_INENTORY_SIZE_Desc"	"Consigue experiencia en combate e incrementa tu reputación con @FF00FF00ingenieros@FFFFFFFF para desbloquear espacios adicionales en el inventario. La siguiente fase de esta mejora se desbloquea en el nivel $level$."
"Restriction_INENTORY_SIZE_Name"	"Ampliación de almacén"
"Restriction_INVENTORY_FREE_SPACE_Desc"	"El almacén está lleno. Puedes vender o desmantelar algo para liberar espacio. También puedes mejorar tu situación con los mecánicos para conseguir más espacio. "
"Restriction_INVENTORY_FREE_SPACE_Name"	"El almacén está lleno."
"Restriction_LACK_OF_DETAILS_CRAFT_Desc"	"No hay piezas suficientes para fabricar. Puedes conseguir piezas en combate, fabricarlas o comprarlas en el mercado."
"Restriction_LACK_OF_DETAILS_CRAFT_Name"	"Faltan piezas"
"Restriction_LACK_OF_DETAILS_FUSION_REPAIR_Desc"	"Para construir una pieza entera de \"$detail_name$\" necesitas {$lack$;'pieza totalmente dañada';'piezas totalmente dañadas';}."
"Restriction_LACK_OF_DETAILS_FUSION_REPAIR_Name"	"Faltan piezas"
"Restriction_MINOR_DEFNAME_COUNT_Desc"	"Necesitas $count$ uds. de $item$ más."
"Restriction_MINOR_DEFNAME_COUNT_Name"	"Componentes insuficientes"
"Restriction_MINOR_DEF_COUNT_Desc"	"Necesitas $count$ uds. de $item$ más."
"Restriction_MINOR_DEF_COUNT_Name"	"Componentes insuficientes"
"Restriction_MIN_CURRENT_CAR_UNIVERSAL_RATING_Desc"	"Se requiere $rating$ Puntos de Poder (PS) en el vehículo actual. Mejora tu vehículo añadiéndole más piezas."
"Restriction_MIN_CURRENT_CAR_UNIVERSAL_RATING_Name"	"Puntos de Poder (PS) insuficientes"
"Restriction_MIN_CURRENT_LEVI_UNIVERSAL_RATING_Name"	"Puntos de Poder (PS) insuficientes"
"Restriction_MONEY_Desc"	"Necesitas $lack$ más para completar la operación.|Puedes vender algo en el mercado o comprar divisas en la tienda."
"Restriction_MONEY_Desc_PS4"	"Necesitas $lack$ más para completar la operación.|Puedes vender algo en el mercado o comprar monedas en PlayStation™Store."
"Restriction_MONEY_Desc_XBONE"	"Necesitas $lack$ más para completar la operación.|Puedes vender algo en el mercado o comprar monedas en Tienda Xbox."
"Restriction_MONEY_Name"	"Divisa insuficiente"
"Restriction_RESOURCE_Badge_Name"	"Insignias insuficientes"
"Restriction_RESOURCE_ChinaMoney_Desc"	"Táleros insuficientes para esta operación."
"Restriction_RESOURCE_ChinaMoney_Name"	"Divisa insuficiente"
"Restriction_RESOURCE_ClanMoney_Desc"	"Mineral de uranio insuficiente para esta operación."
"Restriction_RESOURCE_ClanMoney_Name"	"Mineral de uranio insuficiente"
"Restriction_RESOURCE_Gasoline_Desc"	"Necesitas @ffff0000$lack$@ffffffff combustible más. Lo puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Gasoline_Name"	"Falta combustible"
"Restriction_RESOURCE_GermanMoney_Desc"	"Táleros insuficientes para esta operación."
"Restriction_RESOURCE_GermanMoney_Name"	"Fondos insuficientes"
"Restriction_RESOURCE_HalloweenMoney_Desc"	"Necesitas 'Dulces Peligrosos' para completar esta operación. Puedes conseguirlos ganando en el modo \"Misión\" y completando desafíos diarios, solo durante el evento."
"Restriction_RESOURCE_HalloweenMoney_Name"	"No hay suficientes 'Dulces Peligrosos'"
"Restriction_RESOURCE_Platinum_Desc"	"Necesitas @ffff0000$lack$@ffffffff cobre más. Lo puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Platinum_Name"	"Falta cobre"
"Restriction_RESOURCE_Scrap_Common_Desc"	"Necesitas @ffff0000$lack$@ffffffff chatarra más. La puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Scrap_Common_Name"	"Falta chatarra"
"Restriction_RESOURCE_Scrap_Epic_Desc"	"Necesitas @ffff0000$lack$@ffffffff circuitos electrónicos más. Los puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Scrap_Epic_Name"	"No hay suficientes circuitos electrónicos"
"Restriction_RESOURCE_Scrap_Rare_Desc"	"Necesitas @ffff0000$lack$@ffffffff cables. Los puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Scrap_Rare_Name"	"Faltan cables."
"Restriction_RESOURCE_Supply_Desc"	"Necesitas @ffff0000$lack$@ffffffff cupones más. Los puedes conseguir en incursiones o comprar en el mercado."
"Restriction_RESOURCE_Supply_Name"	"Faltan cupones"
"Restriction_USER_STAMINA_BUY_GASOLINE_Desc"	"Tu tanque está vacío y no hay combustible en tu almacén. Puedes esperar al repostaje diario o comprar algo en el mercado (necesitas al menos $lack$ latas). ¿Abrir el mercado?"
"Restriction_USER_STAMINA_Name"	"Combustible insuficiente"
"Restriction_USER_STAMINA_USE_GASOLINE_Desc"	"Tu tanque está vacío; puedes esperar al repostaje de combustible diario o transferir algo del almacén. ¿Verter $lack$ latas en el vehículo?"
